Hotel Name,City,Location,StarRating,ReviewScore,Rating,ReviewCount,freewifi,familyrooms,nonsmokingrooms,restaurant,bar,heating,lift,Cuisine1,Cuisine2,Cuisine3,RoomType,DoubleBed,SingleBed,Price
"Moon Valley Hotel Apartment - Bur Dubai, Burjuman",Dubai,Bur Dubai,2.0,6.1,Review score,2985,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Full English/Irish,Three-Bedroom Apartment,No,Yes,5325.0
Flora Al Barsha Hotel At The Mall,Dubai,Al Barsha,4.0,8.3,Very good,8580,Yes,Yes,Yes,Yes,No,No,Yes,International,Full English/Irish,Continental,Classic King/ Twin Room - Complimentary Transfer To Beach,Yes,No,9341.0
Rove City Walk,Dubai,Al Wasl,3.0,9.0,Superb,7114,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegetarian,,Rover Room,No,Yes,13570.0
Taj Jumeirah Lakes Towers,Dubai,Jumeirah Lakes Towers,5.0,8.7,Fabulous,4409,Yes,Yes,Yes,Yes,No,No,Yes,International,Ameican,Continental,Superior Room king bed,No,Yes,18154.0
"InterContinental Dubai Marina, an IHG Hotel",Dubai,Dubai Marina,5.0,8.6,Fabulous,1845,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,,,,,
Capitol Hotel,Dubai,Beach & Coast,4.0,6.7,Review score,1032,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,Full English/Irish,Superior Double or Twin Room,Yes,No,9056.0
Regal Peninsula Hotel Formerly New Peninsula Hotel Ghubaiba Bus Station Bur Dubai,Dubai,Bur Dubai,2.0,4.9,Review score,,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Continental,Executive King Room ,Yes,No,3259.0
Rolla Suites Hotel -Former J5 Bur Dubai Hotel,Dubai,Bur Dubai,3.0,6.8,Review score,2190,Yes,Yes,Yes,Yes,No,No,No,Full English/Irish,Ameican,Vegan,Premium King Room,Yes,No,5582.0
Media One Hotel,Dubai,Dubai Media City,4.0,8.6,Fabulous,3265,Yes,Yes,Yes,Yes,No,No,Yes,Continental,,Continental,Standard Double Room,Yes,No,15298.0
Jumeirah Emirates Towers,Dubai,Trade Centre,5.0,9.0,Superb,3803,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Asian,,Deluxe Room with Direct Connectivity to Museum of The Future,No,Yes,24930.0
JW Marriott Marquis Hotel Dubai,Dubai,Business Bay,5.0,8.6,Fabulous,,Yes,Yes,Yes,Yes,No,No,Yes,American,Full English/Irish,Full English/Irish,Deluxe King Room,Yes,No,26064.0
Jumeirah Creekside Hotel,Dubai,Garhoud,5.0,8.7,Fabulous,3529,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Continental,Deluxe Room - Includes late check-out until 2pm,No,Yes,14732.0
Five Jumeirah Village,Dubai,Dubai,5.0,9.1,Superb,38545,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Vegan,,,,
Hues Boutique Hotel,Dubai,Deira,4.0,7.7,Good,1903,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Continental,Classic Twin Room ,Yes,No,4792.0
Centro Barsha - by Rotana,Dubai,Al Barsha,3.0,7.9,Good,3300,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegan,,Centro Room  Queen Bed,No,Yes,6099.0
The Muse,Dubai,Beach & Coast,4.0,8.0,Very good,395,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,American,Deluxe Loft Studio,No,Yes,12239.0
J5 Hotels â Port Saeed,Dubai,Deira,3.0,8.6,Fabulous,4301,,,,,,,,,,,,,,
Panorama Hotel Deira,Dubai,Deira,2.0,6.4,Review score,961,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegetarian,,Standard Double Room,Yes,No,3570.0
Fairmont Dubai,Dubai,Trade Centre,5.0,8.7,Fabulous,1793,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Full English/Irish,Fairmont Twin Room,Yes,No,14732.0
Emirates Grand Hotel,Dubai,Trade Centre,3.0,6.9,Review score,2114,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Continental,,,,
Media Rotana Dubai,Dubai,Barsha Heights (Tecom) ,5.0,7.7,Good,2495,Yes,Yes,Yes,Yes,No,No,Yes,American,Vegetarian,,Guest Room  Twin Beds,Yes,No,10312.0
Gulf Court Hotel Business Bay,Dubai,Business Bay,4.0,7.9,Good,5044,Yes,Yes,Yes,Yes,No,No,Yes,International,Ameican,Continental,Standard Room,Yes,No,11767.0
Manzil Downtown by Vida,Dubai,Downtown Dubai,4.0,9.1,Superb,4582,Yes,Yes,Yes,Yes,No,No,Yes,Vegan,Continental,,Deluxe Room,No,Yes,20375.0
NH Collection Dubai The Palm,Dubai,Palm Jumeirah,4.0,8.7,Fabulous,713,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,,Full English/Irish,Studio,No,Yes,20709.0
Regent Palace Hotel,Dubai,Bur Dubai,4.0,6.0,Review score,531,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Continental,Standard  Room,Yes,No,6207.0
Towers Rotana - Dubai,Dubai,Trade Centre,4.0,8.3,Very good,,Yes,Yes,Yes,Yes,No,No,Yes,International,Ameican,Vegan,Guest room - Twin beds,Yes,No,12135.0
Landmark Summit Hotel,Dubai,Deira,4.0,6.4,Review score,2622,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Continental,Deluxe Double - King,Yes,No,5328.0
Sofitel Dubai The Obelisk,Dubai,Bur Dubai,5.0,9.0,Superb,2723,Yes,Yes,Yes,Yes,No,No,Yes,International,Asian,,Deluxe Room,No,Yes,17221.0
25hours Hotel Dubai One Central,Dubai,Trade Centre,5.0,8.4,Very good,3047,No,Yes,Yes,Yes,No,No,Yes,American,Full English/Irish,Full English/Irish,Glamping Large Room with Twin Beds,Yes,No,15196.0
Grand Millennium Business Bay,Dubai,Business Bay,5.0,8.6,Fabulous,1797,No,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Continental,SUPERIOR ROOM,No,Yes,13698.0
Al Manar Hotel Apartments,Dubai,Dubai,2.0,6.0,Review score,,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,,Vegan,Studio,No,Yes,4261.0
SUTCHI HOTEL,Dubai,Deira,1.0,3.4,Review score,56,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Continental,Deluxe Double Room,Yes,No,4080.0
Donatello Hotel,Dubai,Al Barsha,4.0,7.6,Good,2741,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Vegan,,Deluxe King Room & 20% discount at Oro Lounge and Yamas Restaurant ,Yes,No,8794.0
Park Hyatt Dubai,Dubai,Dubai Creek,5.0,9.0,Superb,2689,Yes,Yes,Yes,Yes,No,No,Yes,Continental,,American,King Room,Yes,No,38416.0
Savoy Park Hotel Apartments,Dubai,Bur Dubai,4.0,8.1,Very good,197,Yes,Yes,Yes,Yes,No,No,Yes,American,Asian,,"Classic Studio Suite with Complimentary Shuttle to La Mer Beach (inclusive of Beach Mats & Beach Towels), BurJuman Mall and Outlet Mall",Yes,No,21091.0
HE Hotel Apartments,Dubai,Dubai,5.0,7.8,Good,1996,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Vegetarian,,Deluxe King Studio Apartment,Yes,No,7557.0
Moscow Hotel,Dubai,Deira,4.0,6.8,Review score,2310,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Full English/Irish,Standard Double Room,Yes,No,6475.0
Zaineast Hotel,Dubai,Deira,1.0,5.4,Review score,83,Yes,No,Yes,Yes,No,No,Yes,Local,Full English/Irish,Continental,,,,
"The St. Regis Dubai, The Palm",Dubai,Palm Jumeirah,5.0,9.2,Superb,1159,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegetarian,,Deluxe Twin Room with City View,Yes,No,39096.0
Ivory Grand Hotel Apartments,Dubai,Al Barsha,3.0,7.5,Good,2004,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Ameican,Continental,Studio,No,Yes,7139.0
The Bristol Hotel,Dubai,Deira,4.0,7.3,Good,106,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,,Standard Room,Yes,No,7145.0
DAMAC Maison Cour Jardin,Dubai,Business Bay,4.0,8.9,Fabulous,325,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Full English/Irish,Deluxe Room Downtown View,No,Yes,16277.0
Carlton Downtown Hotel,Dubai,Trade Centre,4.0,7.6,Good,3240,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Continental,Deluxe Room,No,Yes,13044.0
Chelsea Gardens Hotel Apartment,Dubai,Discovery Gardens,4.0,8.1,Very good,753,Yes,Yes,Yes,Yes,No,No,Yes,Local,Ameican,Vegan,Studio ,No,Yes,7345.0
Royal Falcon Hotel,Dubai,Deira,3.0,5.8,Review score,,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,Continental,Deluxe Double or Twin Room,Yes,No,3725.0
Grand Central Hotel,Dubai,Deira,4.0,7.0,Good,2791,Yes,Yes,Yes,Yes,No,No,Yes,International,Asian,,Deluxe Double Room,Yes,No,4495.0
Adagio Premium The Palm,Dubai,Palm Jumeirah,4.0,8.8,Fabulous,1058,Yes,Yes,Yes,Yes,No,No,Yes,Vegan,Full English/Irish,Full English/Irish,Studio King with Private Beach Access,Yes,No,22211.0
Sofitel Dubai Palm Apartments,Dubai,Palm Jumeirah,5.0,8.5,Very good,625,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Continental,,,,
Phoenicia Grand Hotel,Dubai,Deira,2.0,5.3,Review score,,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,Vegan,Standard Double or Twin Room,Yes,No,4487.0
Green House Hotel Suites & Apartment,Dubai,Bur Dubai,2.0,6.0,Review score,299,Yes,Yes,Yes,Yes,No,No,Yes,International,Continental,Continental,,,,
Golden Sands Hotel Apartments,Dubai,Bur Dubai,3.0,7.8,Good,10816,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegan,,Deluxe Studio - Golden Sands 5,No,Yes,10593.0
Pullman Dubai Creek City Centre,Dubai,Deira,5.0,8.1,Very good,,Yes,Yes,Yes,Yes,No,No,Yes,International,Continental,American,Superior Double Room,Yes,No,11219.0
Millennium Place Dubai Marina,Dubai,Dubai Marina,4.0,8.5,Very good,7389,Yes,Yes,Yes,Yes,No,No,Yes,American,Asian,,Superior King Room,Yes,No,15072.0
Dubai Marriott Harbour Hotel And Suites,Dubai,Dubai Marina,4.0,8.5,Very good,416,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Vegetarian,,One-Bedroom Suite with City View,Yes,No,23233.0
Florida Al Souq Hotel (Previously Known Flora Al Souq Hotel),Dubai,Deira,2.0,6.9,Review score,171,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Full English/Irish,Double or Twin Room,Yes,No,4448.0
Abidos Hotel Apartment Dubai Land,Dubai,Dubai,3.0,7.8,Good,2812,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,,Continental,Deluxe One Bedroom Apartment with Balcony,No,Yes,8605.0
Grand Millennium Dubai,Dubai,Barsha Heights (Tecom) ,5.0,7.8,Good,2175,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Vegetarian,,,,,
Marco Polo Hotel,Dubai,Deira,4.0,6.3,Review score,859,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Ameican,Continental,Standard Double Room ,Yes,No,5025.0
Millennium Montrose Hotel Apartment,Dubai,Dubai,4.0,8.6,Fabulous,,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,,,,,
Days Hotel By Wyndham Dubai Deira,Dubai,Deira,3.0,8.1,Very good,3968,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,,"Superior Queen Room, City View, 25% off Spa",No,Yes,7819.0
Palazzo Versace Dubai,Dubai,Bur Dubai,5.0,8.7,Fabulous,3604,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,,Deluxe Versace Room with City View ,No,Yes,29879.0
Montreal Barsha Hotel,Dubai,Al Barsha,4.0,6.3,Review score,2508,Yes,Yes,Yes,Yes,No,No,Yes,Local,Ameican,,Deluxe Room,No,Yes,4079.0
LEGOLAND Hotel Dubai,Dubai,Dubai World Central,4.0,8.2,Very good,6178,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,,Double Standard,Yes,No,16799.0
Rove Downtown,Dubai,Bur Dubai,3.0,9.2,Superb,9533,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Asian,Full English/Irish,Rover Room,No,Yes,12438.0
President Hotel,Dubai,Bur Dubai,2.0,7.7,Good,,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,,Standard Queen Room,Yes,No,7336.0
Zagy Hotel,Dubai,Deira,1.0,4.7,Review score,257,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,,Standard King Bed,Yes,No,3193.0
SLS Dubai Hotel & Residences,Dubai,Business Bay,5.0,8.6,Fabulous,3452,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,,Signature King Room With balcony,Yes,No,28557.0
MD Hotel By Gewan,Dubai,Al Barsha,4.0,7.4,Good,3273,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Full English/Irish,Superior Twin Room - Complimentary Transfer to Bluewater Island and JBR,Yes,No,5895.0
Grand Marino Hotel,Dubai,Deira,3.0,7.7,Good,523,Yes,Yes,Yes,Yes,No,No,Yes,American,Vegan,Continental,Deluxe Double Room,Yes,No,8159.0
Asiana Hotel Dubai,Dubai,Deira,5.0,7.7,Good,1770,Yes,Yes,Yes,Yes,No,No,Yes,International,Continental,,Superior Twin Room - Beach transfer & Free Shuttle to Deira city center mall,Yes,No,6865.0
Cheval Maison - The Palm,Dubai,Palm Jumeirah,5.0,9.6,Exceptional,239,Yes,Yes,Yes,Yes,No,No,Yes,Vegan,Asian,Continental,Superior One-Bedroom Apartment (2 Adults),No,Yes,21985.0
Sonder Business Bay,Dubai,Business Bay,4.0,8.7,Fabulous,2911,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Vegetarian,,Studio Apartment,No,Yes,20011.0
Wyndham Residences The Palm,Dubai,Palm Jumeirah,5.0,8.2,Very good,1059,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Full English/Irish,Deluxe Studio Sea View with Private Beach Access,No,Yes,23457.0
Paramount Hotel Midtown,Dubai,Business Bay,5.0,8.7,Fabulous,2835,Yes,Yes,Yes,Yes,No,No,Yes,International,Full English/Irish,Continental,Scene Room Duet,No,Yes,22437.0
"Residence Inn by Marriott Sheikh Zayed Road, Dubai",Dubai,Trade Centre,4.0,8.2,Very good,2368,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Vegan,"Deluxe Studio with 1 King, City view",Yes,No,13485.0
The Dubai EDITION,Dubai,Downtown Dubai,5.0,9.1,Superb,2257,Yes,Yes,Yes,Yes,No,No,Yes,International,Continental,Continental,Guest King Room with Balcony,Yes,No,36580.0
Citadines Metro Central Apartments,Dubai,Barsha Heights (Tecom) ,4.0,8.6,Fabulous,2375,Yes,Yes,Yes,Yes,No,No,Yes,American,Ameican,,Executive Studio,No,Yes,10191.0
Hyde Hotel Dubai,Dubai,Business Bay,5.0,8.8,Fabulous,2463,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,,Hyde Out Plus Room with Balcony and Dubai Canal View,No,Yes,20398.0
Parkside Hotel Apartment,Dubai,Discovery Gardens,3.0,6.7,Review score,684,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Asian,,Standard Studio,Yes,No,4759.0
Millennium Al Barsha,Dubai,Al Barsha,4.0,8.4,Very good,5138,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,,,Deluxe King Room,Yes,No,9077.0
Palm Beach Hotel,Dubai,Bur Dubai,3.0,5.0,Review score,1443,No,Yes,Yes,Yes,No,No,Yes,Continental,,Full English/Irish,Standard Double or Twin Room ,Yes,No,4277.0
Helnan Royal,Dubai,Deira,3.0,7.8,Good,,No,Yes,Yes,Yes,No,No,Yes,Continental,Full English/Irish,Continental,Deluxe King Room,Yes,No,10199.0
Royal Continental Suites Business Bay - Deluxe Apartments,Dubai,Business Bay,4.0,8.6,Fabulous,1393,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,,Deluxe Room,No,Yes,9985.0
Sofitel Dubai Jumeirah Beach,Dubai,Jumeirah Beach Residence,5.0,9.3,Superb,9206,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Vegan,Continental,Superior Room with Two Single Beds - Partial Sea View/Pool Access,No,Yes,26497.0
Golden Sands Boutique Hotel-Dubai Creek,Dubai,Deira,5.0,9.2,Superb,5091,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,,Deluxe Twin Room,Yes,No,15584.0
"voco Dubai The Palm, an IHG Hotel",Dubai,Palm Jumeirah,4.0,9.1,Superb,,Yes,Yes,Yes,Yes,No,No,Yes,American,Asian,Full English/Irish,Deluxe Twin Room with Palm Side Sea View ,Yes,No,25025.0
ME Dubai by MeliÃ¡,Dubai,Business Bay,5.0,8.8,Fabulous,1811,,,,,,,,,,,,,,
Hyatt Place Dubai Jumeirah,Dubai,Beach & Coast,4.0,8.4,Very good,3508,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Vegan,Twin Room with Sofa Bed,Yes,No,11785.0
Adagio Premium Dubai Al Barsha,Dubai,Al Barsha,4.0,7.5,Good,319,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,,Continental,One-Bedroom Apartment,No,Yes,12465.0
Andaz by Hyatt â Palm Jumeirah,Dubai,Palm Jumeirah,5.0,8.6,Fabulous,3173,,,,,,,,,,,,,,
Paramount Hotel Dubai,Dubai,Business Bay,5.0,8.4,Very good,8618,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Ameican,American,Partner offer option,No,Yes,14616.0
Millennium Place Barsha Heights Hotel Apartments,Dubai,Barsha Heights (Tecom) ,4.0,8.4,Very good,4056,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,,Deluxe King Studio,Yes,No,9700.0
Xclusive Maples Hotel Apartment,Dubai,Bur Dubai,2.0,6.5,Review score,253,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,,Partner offer option,No,Yes,5288.0
Vista Square Hotel,Dubai,Deira,3.0,6.4,Review score,1024,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Full English/Irish,Deluxe Double Room,Yes,No,6799.0
Hyatt Place Dubai Wasl District Residences,Dubai,Deira,4.0,8.0,Very good,2921,Yes,Yes,Yes,Yes,No,No,Yes,American,Ameican,Continental,Studio with Kitchen,No,Yes,7796.0
Pullman Dubai Creek City Centre Residences,Dubai,Deira,5.0,8.3,Very good,920,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,,One-Bedroom Apartment with City View,No,Yes,15298.0
S19 Hotel-Al Jaddaf Metro Station,Dubai,Bur Dubai,3.0,8.5,Very good,1304,Yes,Yes,Yes,Yes,No,No,Yes,American,Asian,Continental,Executive King Room with 20% Off Food & Beverage (excluding in-room dining),Yes,No,8567.0
Millennium Atria Business Bay,Dubai,Business Bay,5.0,8.5,Very good,5479,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,,Premium Studio,No,Yes,13646.0
Ramee Royal Hotel,Dubai,Bur Dubai,4.0,6.4,Review score,120,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Full English/Irish,Standard Double or Twin Room,Yes,No,4971.0
The St Regis Downtown Dubai,Dubai,Business Bay,5.0,9.0,Superb,2172,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,,Continental,Superior King Room with Partial Burj Khalifa or Downtown View including Signature St. Regis Butler Service,Yes,No,30596.0
Al Bandar Arjaan by Rotana â Dubai Creek,Dubai,Deira,5.0,8.5,Very good,737,,,,,,,,,,,,,,
"La Ville Hotel & Suites CITY WALK Dubai, Autograph Collection",Dubai,Al Wasl,5.0,8.6,Fabulous,928,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Vegan,Continental,"Deluxe Room, Guest room, 1 King ",Yes,No,22664.0
Deira Suites Deluxe Hotel Suites,Dubai,Deira,4.0,8.1,Very good,895,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,,2 bedroom,No,Yes,13960.0
Jannah Place Dubai Marina,Dubai,Dubai Marina,3.0,7.5,Good,635,Yes,Yes,Yes,Yes,No,No,Yes,Asian,,Full English/Irish,Two Bedrooms,No,Yes,10690.0
Delmon Hotel,Dubai,Deira,3.0,3.8,Review score,4153,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegetarian,Continental,Deluxe Double Room,Yes,No,3443.0
Lavender Hotel Al Nahda Dubai,Dubai,Al Qusais,4.0,7.5,Good,2667,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,Vegan,Standard King Room with 20% off F&B,Yes,No,4974.0
Grand Heights Hotel Apartments,Dubai,Barsha Heights (Tecom) ,4.0,8.5,Very good,1828,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,Continental,Classic Studio,No,Yes,9806.0
MÃ¶venpick Hotel Jumeirah Beach,Dubai,Jumeirah Beach Residence,5.0,8.2,Very good,4224,,,,,,,,,,,,,,
Villa Rotana - Dubai,Dubai,Al Wasl,4.0,8.3,Very good,883,Yes,Yes,Yes,Yes,No,No,Yes,Local,Ameican,American,Studio  Twin Bed,Yes,No,10673.0
Grand Square Hotel,Dubai,Deira,2.0,6.0,Review score,556,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,,Single Room,No,Yes,3262.0
Nassima Tower Hotel Apartments,Dubai,Trade Centre,3.0,7.8,Good,932,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,,One-Bedroom Apartment,No,Yes,13995.0
Royalton Hotel,Dubai,Deira,2.0,4.6,Review score,835,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Full English/Irish,,,,
Grand Hyatt Dubai,Dubai,Bur Dubai,5.0,8.7,Fabulous,,Yes,Yes,Yes,No,No,No,Yes,,,Continental,King Room with Skyline View ,Yes,No,21531.0
Signature Hotel Apartments and Spa,Dubai,Dubai Marina,4.0,6.7,Review score,899,Yes,Yes,Yes,Yes,No,No,Yes,Continental,,,One-Bedroom Apartment with Marina View,No,Yes,10407.0
Rove Healthcare City - Bur Dubai,Dubai,Bur Dubai,3.0,9.1,Superb,2616,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Asian,Continental,Rover Room,No,Yes,7454.0
"Grosvenor House, a Luxury Collection Hotel, Dubai",Dubai,Dubai Marina,5.0,9.3,Superb,1410,Yes,Yes,Yes,Yes,No,No,Yes,American,Full English/Irish,,"Deluxe Room, With Complimentary Resort Beach & Pool Access, Guest room, 1 King",Yes,No,26064.0
Kempinski Hotel Mall of the Emirates,Dubai,Al Barsha,5.0,9.1,Superb,7509,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Full English/Irish,Superior Room,No,Yes,27043.0
SKAF HOTEL LLC,Dubai,Bur Dubai,4.0,6.5,Review score,73,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Continental,Superior King Room,Yes,No,5434.0
Address Sky View,Dubai,Downtown Dubai,5.0,9.0,Superb,2928,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,Vegan,Premier Twin Room,Yes,No,45305.0
Fortune Pearl Hotel,Dubai,Deira,3.0,6.8,Review score,2550,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Vegan,Continental,Standard Double Room,Yes,No,3746.0
Al Khoory Atrium,Dubai,Al Barsha,4.0,8.1,Very good,,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,,Superior Double or Twin Room,Yes,No,7674.0
Landmark Riqqa Hotel,Dubai,Deira,4.0,6.4,Review score,1528,Yes,Yes,Yes,Yes,No,No,Yes,Local,Asian,Full English/Irish,,,,
Sun And Sands Downtown,Dubai,Deira,3.0,4.6,Review score,614,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegetarian,Continental,Standard King Room,Yes,No,3736.0
Treppan Hotel & Suites By Fakhruddin,Dubai,Dubai,4.0,8.0,Very good,1321,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Vegan,,,,
West Zone Plaza Hotel Apartment (Formerly Winchester Hotel Apts),Dubai,Bur Dubai,3.0,6.8,Review score,219,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,,Continental,Executive Studio,No,Yes,7708.0
Arabian Courtyard Hotel & Spa,Dubai,Bur Dubai,4.0,6.8,Review score,1247,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Vegetarian,,Deluxe Room,No,Yes,8171.0
Millennium Place Mirdif Apartments,Dubai,Dubai,4.0,8.4,Very good,362,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Ameican,American,,,,
Al Khaleej Grand Hotel,Dubai,Deira,3.0,4.4,Review score,440,Yes,Yes,Yes,Yes,No,No,Yes,Continental,,,Partner offer option,No,Yes,4946.0
"Staybridge Suites Dubai Financial Centre, an IHG Hotel",Dubai,Trade Centre,4.0,8.2,Very good,1816,Yes,Yes,Yes,Yes,No,No,Yes,American,Full English/Irish,,Studio Suite,Yes,No,14278.0
City Stay Premium Hotel Apartments,Dubai,Deira,3.0,6.8,Review score,982,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Full English/Irish,Deluxe King Studio,Yes,No,5099.0
Fortune Park Hotel,Dubai,Dubai Investment Park,4.0,7.9,Good,674,Yes,Yes,Yes,Yes,No,No,Yes,Local,Ameican,Continental,Deluxe Room,No,Yes,6384.0
Al Raya Hotel Apartments,Dubai,Bur Dubai,3.0,7.9,Good,794,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,,Standard King Room,Yes,No,14674.0
Two Seasons Hotel & Apartments,Dubai,Dubai Internet City,4.0,8.1,Very good,5781,No,Yes,Yes,Yes,No,No,Yes,Asian,,Continental,Deluxe Suite with City View with Free Shuttle Beach & Mall Transfer,Yes,No,12630.0
Broadway Hotel,Dubai,Deira,3.0,5.5,Review score,1608,No,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,,Double Room,Yes,No,9972.0
Vida Creek Harbour,Dubai,Dubai,4.0,8.9,Fabulous,3315,Yes,Yes,Yes,No,No,No,Yes,,,Full English/Irish,City View Deluxe Room King,Yes,No,13485.0
Monaco Hotel,Dubai,Deira,4.0,6.6,Review score,1726,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Continental,Double or Twin Room,Yes,No,7932.0
Boulevard City Suites Hotel Apartments,Dubai,Al Qusais,3.0,7.7,Good,664,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Vegan,Standard One-Bedroom Apartment,Yes,No,6777.0
Wave International Hotel,Dubai,Deira,2.0,7.1,Good,221,Yes,Yes,Yes,Yes,No,No,Yes,American,Vegan,Continental,Standard Double or Twin Room,Yes,No,7343.0
Al Bustan Centre & Residence,Dubai,Al Qusais,3.0,7.8,Good,839,Yes,Yes,Yes,Yes,No,No,Yes,International,Continental,,Standard Studio,Yes,No,7541.0
Royal Tulip Hotel LLC,Dubai,Deira,3.0,6.3,Review score,,Yes,Yes,Yes,Yes,No,No,Yes,Vegan,Asian,Full English/Irish,Standard Room,Yes,No,3275.0
Palace Downtown,Dubai,Downtown Dubai,5.0,8.9,Fabulous,2908,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Vegetarian,Continental,Deluxe Room with Lake View,No,Yes,36240.0
