Hotel Name,City,Location,StarRating,ReviewScore,Rating,ReviewCount,freewifi,familyrooms,nonsmokingrooms,restaurant,bar,heating,lift,Cuisine1,Cuisine2,Cuisine3,RoomType,DoubleBed,SingleBed,Price
H+ Hotel 4Youth,Berlin,"Mitte, Berlin",3.0,7.8,Good,"4,012",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,,Comfort Room,No,Yes,13444.0
AMANO East Side,Berlin,"Friedrichshain-Kreuzberg, Berlin",3.0,8.3,Very good,"5,229",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,,Full English/Irish,Standard Double Room,Yes,No,12640.0
Motel One Berlin-Alexanderplatz,Berlin,"Mitte, Berlin",3.0,8.7,Fabulous,"9,811",Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Vegetarian,Continental,,,,
Riu Plaza Berlin,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",4.0,8.3,Very good,"16,405",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,,Deluxe Double Room,Yes,No,13971.0
Aeronaut Serviced Apartments NeukÃ¶lln-Kreuzberg powered by Pearl 1,Berlin,"NeukÃ¶lln, Berlin",4.0,8.1,Very good,"1,640",,,,,,,,,,,,,,
Novotel Berlin Am Tiergarten,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4.0,8.3,Very good,"3,915",Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegetarian,,Standard Double Room,Yes,No,14323.0
Hotel Gat Point Charlie,Berlin,"Mitte, Berlin",3.0,8.1,Very good,"5,720",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Ameican,Full English/Irish,Standard Double Room,Yes,No,11247.0
ibis budget Berlin Ost,Berlin,"Marzahn-Hellersdorf, Berlin",1.0,5.9,Review score,"2,071",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Continental,Standard Room,Yes,No,9402.0
The Westin Grand Berlin,Berlin,"Mitte, Berlin",5.0,8.5,Very good,"5,128",Yes,Yes,Yes,No,Yes,Yes,Yes,,,Vegan,Deluxe Double Room with City View,Yes,No,27152.0
Hotel Columbia,Berlin,"Friedrichshain-Kreuzberg, Berlin",3.0,6.0,Review score,"1,022",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,,Continental,Double Room,Yes,No,9578.0
ibis Berlin City Nord,Berlin,"Reinickendorf, Berlin",2.5,6.7,Review score,"1,586",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Ameican,,Double Room,Yes,No,9026.0
Yggotel Spurv,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3.0,7.8,Good,268,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,,Standard Room,Yes,No,10475.0
Wyndham Garden Berlin Mitte,Berlin,"Mitte, Berlin",4.0,6.8,Review score,"3,400",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,,,Standard Double Room,Yes,No,11764.0
ARCOTEL Velvet Berlin,Berlin,"Mitte, Berlin",4.0,8.0,Very good,"2,710",Yes,Yes,Yes,No,No,Yes,Yes,,,,Guest Room,No,Yes,15782.0
Art Apartments,Berlin,"Mitte, Berlin",3.0,8.4,Very good,744,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,Full English/Irish,,,,
Quentin XL Potsdamer Platz,Berlin,"Mitte, Berlin",4.0,7.3,Good,"2,883",Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Full English/Irish,Continental,Classic Double Room,Yes,No,11783.0
Mercure Hotel Berlin City,Berlin,"Mitte, Berlin",4.0,8.1,Very good,"1,931",Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Continental,,Standard Double Room,Yes,No,13532.0
Park Plaza Wallstreet Berlin Mitte,Berlin,"Mitte, Berlin",4.0,8.2,Very good,"5,125",Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Vegan,Continental,,,,
IntercityHotel Berlin Ostbahnhof,Berlin,"Friedrichshain-Kreuzberg, Berlin",3.0,8.0,Very good,"4,538",Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,,Superior Double Room,Yes,No,14015.0
Hotel Tiergarten Berlin,Berlin,"Mitte, Berlin",3.0,7.4,Good,"2,077",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Asian,Full English/Irish,,,,
Novum Hotel City B Berlin Centrum,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",3.0,6.6,Review score,"2,505",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,Continental,Standard Double Room,Yes,No,11892.0
Eurostars Berlin,Berlin,"Mitte, Berlin",5.0,7.9,Good,"4,658",Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,Vegan,Superior Double Room,Yes,No,19244.0
NH Collection Berlin Mitte Friedrichstrasse,Berlin,"Mitte, Berlin",4.0,8.6,Fabulous,"6,964",Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Full English/Irish,Continental,Superior Double or Twin Room,Yes,No,16344.0
H2 Hotel Berlin-Alexanderplatz,Berlin,"Mitte, Berlin",3.0,8.2,Very good,"16,885",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Vegetarian,,Double or Twin Room,Yes,No,13620.0
Selina Berlin Mitte,Berlin,"Mitte, Berlin",3.0,8.1,Very good,950,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Ameican,,Twin Room,Yes,No,14007.0
Courtyard by Marriott Berlin City Center,Berlin,"Mitte, Berlin",4.0,8.7,Fabulous,853,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,,Studio King with Sofa Bed,Yes,No,26713.0
Central-Hotel Tegel,Berlin,"Reinickendorf, Berlin",2.0,6.7,Review score,"1,183",Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Full English/Irish,,Budget Double Room,Yes,No,8875.0
"The Ritz-Carlton, Berlin",Berlin,"Mitte, Berlin",5.0,9.0,Superb,"1,043",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Full English/Irish,Deluxe King Room,Yes,No,32073.0
"Provocateur Berlin, a Member of Design Hotels",Berlin,"Charlottenburg-Wilmersdorf, Berlin",4.0,8.7,Fabulous,"1,228",Yes,Yes,Yes,Yes,No,Yes,Yes,International,Ameican,Continental,Intime,No,Yes,13365.0
Hotel B1,Berlin,"Marzahn-Hellersdorf, Berlin",2.0,6.5,Review score,"1,589",Yes,Yes,Yes,Yes,No,Yes,Yes,American,Continental,,Double Room Annex,Yes,No,7118.0
Habyt-The Waterfront,Berlin,"Lichtenberg, Berlin",,,,228,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,,Continental,Deluxe Double Studio,Yes,No,7276.0
B&B Hotel Berlin-Tiergarten,Berlin,"Charlottenburg-Wilmersdorf, Berlin",2.0,8.0,Very good,"1,400",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,,,Twin Room,Yes,No,12038.0
H10 Berlin Ku'damm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4.0,8.3,Very good,"5,048",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Full English/Irish,Deluxe Double or Twin Room,Yes,No,14517.0
Nu Wave Hotel Berlin,Berlin,"Friedrichshain-Kreuzberg, Berlin",3.0,8.1,Very good,"1,918",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Full English/Irish,Continental,Classic Triple Room,No,Yes,10083.0
Hotel Pankow,Berlin,"Pankow, Berlin",3.0,7.6,Good,"1,611",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,,Vegan,Double or Twin Room,Yes,No,7625.0
Pestana Berlin Tiergarten,Berlin,"Mitte, Berlin",4.0,8.1,Very good,"4,580",Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegan,Continental,Comfort Room ,No,Yes,15544.0
Hotel Orion Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3.0,6.8,Review score,"1,149",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,,Double Room,Yes,No,9666.0
TITANIC Comfort Mitte,Berlin,"Mitte, Berlin",3.0,7.8,Good,"8,028",Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Asian,,Standard Double Room,Yes,No,14947.0
acom-Hotel Berlin KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3.0,6.9,Review score,"5,194",,,,,,,,,,,,,,
Berlin Marriott Hotel,Berlin,"Mitte, Berlin",5.0,8.6,Fabulous,"2,151",Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,,,,,
Hotel Arena Inn - Berlin Mitte,Berlin,"Mitte, Berlin",3.0,6.1,Review score,"2,286",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,,Full English/Irish,Triple Room,No,Yes,11032.0
Leonardo Hotel Berlin Mitte,Berlin,"Mitte, Berlin",4.0,8.1,Very good,"12,209",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,Continental,Superior Double Room,Yes,No,14393.0
Best Western Hotel am Spittelmarkt,Berlin,"Mitte, Berlin",3.0,8.0,Very good,"4,212",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Ameican,,Comfort Room with two single beds,No,Yes,14499.0
aletto Hotel Kudamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3.0,8.2,Very good,"6,075",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental,Double Room,Yes,No,11975.0
Select Hotel Berlin Gendarmenmarkt,Berlin,"Mitte, Berlin",4.0,7.6,Good,"4,586",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,,Standard Double Room,Yes,No,16300.0
Hotel Central Inn am Hauptbahnhof,Berlin,"Mitte, Berlin",2.0,6.3,Review score,"1,925",Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,Full English/Irish,Economy Double  Room with Shared Toilet,Yes,No,8787.0
Hotel Astrid am KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",,,,773,,,,,,,,,,,,,,
Hotel City Green Berlin,Berlin,"Treptow-KÃ¶penick, Berlin",3.0,7.9,Good,"2,117",Yes,Yes,Yes,Yes,No,Yes,Yes,Vegan,Continental,Vegan,Doppelzimmer comfort,No,Yes,8611.0
Arte Luise Kunsthotel,Berlin,"Mitte, Berlin",3.0,7.5,Good,"1,451",Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Asian,Continental,Comfort Double Room,Yes,No,14863.0
MEININGER Hotel Berlin East Side Gallery,Berlin,"Friedrichshain-Kreuzberg, Berlin",3.0,7.8,Good,"5,576",Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,Full English/Irish,,Twin Room,Yes,No,14191.0
Hotel Zoo Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",5.0,8.7,Fabulous,"1,917",No,Yes,Yes,Yes,No,Yes,Yes,International,Continental,,,,,
Lulu Guldsmeden,Berlin,"Mitte, Berlin",4.0,8.2,Very good,"1,361",No,Yes,Yes,Yes,No,Yes,Yes,Local,Full English/Irish,,Comfy Sky,No,Yes,16673.0
Maritim proArte Hotel Berlin,Berlin,"Mitte, Berlin",,,,"9,734",Yes,Yes,Yes,Yes,No,Yes,Yes,International,Continental,,Classic Double Room,Yes,No,16525.0
Atlas Berlin Hotel,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3.0,7.1,Good,724,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Vegan,Full English/Irish,Double Room,Yes,No,11353.0
NH Collection Berlin Mitte am Checkpoint Charlie,Berlin,"Mitte, Berlin",4.0,8.3,Very good,"7,741",Yes,Yes,Yes,No,No,Yes,Yes,,,,Premium Double or Twin Room,Yes,No,19859.0
M-Pire Hotel Berlin,Berlin,"NeukÃ¶lln, Berlin",3.0,8.5,Very good,23,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Asian,,Double Room,Yes,No,15377.0
TITANIC Comfort KurfÃ¼rstendamm,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",3.0,8.0,Very good,"4,102",,,,,,,,,,,,,,
Good Morning + Berlin City East,Berlin,"Lichtenberg, Berlin",3.0,7.2,Good,"5,467",Yes,Yes,Yes,Yes,No,Yes,Yes,Continental,,Full English/Irish,Standard Twin Room,Yes,No,7030.0
Leonardo Hotel Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3.0,7.9,Good,"9,176",Yes,Yes,Yes,Yes,No,Yes,Yes,Continental,Full English/Irish,Continental,Comfort Double Room,Yes,No,10834.0
Scandic Berlin KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4.0,8.1,Very good,"7,506",,,,,,,,,,,,,,
Henri Hotel Berlin KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4.0,8.5,Very good,"1,093",,,,,,,,,,,,,,
AC Hotel by Marriott Berlin Humboldthain Park,Berlin,"Mitte, Berlin",4.0,8.0,Very good,"1,274",Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,,,,,
Happy Hotel Berlin,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",2.0,6.5,Review score,"2,444",Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Full English/Irish,Full English/Irish,Double Room with Private Bathroom,Yes,No,9666.0
TWO Hotel Berlin by Axel - Adults Only,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4.0,7.9,Good,"2,764",Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,Continental,City Double Room,Yes,No,11457.0
MEININGER Hotel Berlin Mitte,Berlin,"Mitte, Berlin",3.0,7.9,Good,"3,558",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Ameican,Vegan,Twin Room,Yes,No,13884.0
Gold Palais Hotel,Berlin,"Prenzlauer Berg, Berlin",,,,886,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental,Small Double Room,Yes,No,13022.0
Vienna House Easy by Wyndham Berlin Prenzlauer Berg,Berlin,"Prenzlauer Berg, Berlin",3.0,8.1,Very good,"3,621",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Asian,,Comfort Twin Room,Yes,No,10993.0
NH Berlin Potsdamer Platz,Berlin,"Friedrichshain-Kreuzberg, Berlin",4.0,8.5,Very good,"2,060",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,,Standard Double or Twin Room,Yes,No,13444.0
Hotel Rossi,Berlin,"Mitte, Berlin",,,,"2,252",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,,,,,
Hotel Himmel und Havel,Berlin,"Spandau, Berlin",4.0,8.4,Very good,851,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,,Comfort Triple Room with Shower,No,Yes,12653.0
MÃ¶venpick Hotel Berlin Am Potsdamer Platz,Berlin,"Friedrichshain-Kreuzberg, Berlin",4.0,7.9,Good,"3,332",,,,,,,,,,,,,,
Enjoy Hotel am Studio,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3.0,7.6,Good,957,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,,Continental,,,,
"Lindner Hotel Berlin Ku'damm, part of JdV by Hyatt",Berlin,"Charlottenburg-Wilmersdorf, Berlin",4.0,8.3,Very good,"2,699",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,,Queen Room,No,Yes,17662.0
Queens Park Hotel,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3.0,5.1,Review score,"2,219",Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,,Continental,Double Room,Yes,No,12302.0
Novum Hotel Kronprinz Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3.0,7.3,Good,"2,290",Yes,Yes,Yes,Yes,No,Yes,Yes,International,Vegetarian,,Queen Room,No,Yes,15956.0
Alper Hotel am Potsdamer Platz,Berlin,"Mitte, Berlin",3.0,5.2,Review score,"1,356",Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,Full English/Irish,,,,
Upper Room Hotel KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3.0,7.0,Good,"6,400",,,,,,,,,,,,,,
Michelberger Hotel,Berlin,"Friedrichshain-Kreuzberg, Berlin",,,,"1,624",Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegetarian,Vegan,Loft Room,No,Yes,18453.0
25hours Hotel Bikini Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4.0,8.7,Fabulous,"1,648",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Ameican,Continental,Medium Jungle,No,Yes,22855.0
H4 Hotel Berlin Alexanderplatz,Berlin,"Mitte, Berlin",4.0,8.3,Very good,"8,484",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,,Comfort Double or Twin Room,Yes,No,13049.0
Hotel Christophorus,Berlin,"Spandau, Berlin",3.0,8.0,Very good,373,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,,American,Comfort Double Room,Yes,No,13005.0
HighPark by Palmira,Berlin,"Mitte, Berlin",4.0,8.8,Fabulous,"3,426",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,,,,,,
Quentin Design Hotel Berlin,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",4.0,5.7,Review score,314,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Ameican,,Double Room - Lower Ground Floor,Yes,No,10202.0
