HotelName,RoomType,DoubleBed,SingleBed,Price
Golden Tulip Media Hotel,Double Room,Yes,No,6934
Atana Hotel,Standard Twin Room ,Yes,No,7809
Ibis Al Rigga,Standard Double Room,Yes,No,6890
City Seasons Towers Hotel Bur Dubai,Premium Twin Room,Yes,No,7762
TRYP by Wyndham Dubai,Tryp Room,No,Yes,9101
Wyndham Dubai Deira,Superior Twin Room with City View,Yes,No,7520
Mövenpick Hotel Jumeirah Beach,Superior King with Balcony,Yes,No,16159
"Radisson Blu Hotel, Dubai Waterfront",Standard Room,Yes,No,15502
Millennium Airport Hotel Dubai,Deluxe King Room,Yes,No,7778
Hyatt Regency Creek Heights Residences,Studio with Kitchen,No,Yes,12810
Avani Ibn Battuta Dubai Hotel,AVANI Superior Room,No,Yes,6568
Ibis One Central - World Trade Centre Dubai,Standard Queen Room,Yes,No,5666
Grand Excelsior Hotel - Bur Dubai,Deluxe Room with 25% off F&B,No,Yes,10852
Super 8 by Wyndham Dubai Deira,"Superior Queen Room with Souq View, Early Check-in (12 pm) Late Check-out (2 pm)",No,Yes,6686
Hyatt Regency Dubai - Corniche,King Room - Club Access,Yes,No,26124
Star Metro Deira Hotel Apartments,Deluxe Studio Twin,Yes,No,6589
Radisson Dubai Damac Hills,Standard Room,Yes,No,7955
Hampton By Hilton Dubai Al Barsha,King Guest Room - Smoking - with Free Breakfast,Yes,No,6665
Hampton By Hilton Dubai Airport,"Queen Accessible Room Non-Smoking with Free Breakfast and Complimentary Shuttle services to DXB Airport T1/T3, Mamzar Beach, Deira City Centre and DAFZA ",No,Yes,6323
Metropolitan Hotel Dubai,Guest Room With Complimentary Beach & Mall Shuttle Bus,No,Yes,7778
"Radisson Blu Hotel, Dubai Canal View",Standard Room,Yes,No,12669
Canal Central Hotel,Superior Room City View with free access to Hotel's private beach at Palm - Jumeirah,No,Yes,13430
Hilton Garden Inn Dubai Mall Of The Emirates,Twin Room,Yes,No,9506
Novotel Jumeirah Village Triangle,Superior King Room with City View,Yes,No,7932
"Millennium Plaza Downtown, Dubai",Deluxe Room,No,Yes,9536
Hyatt Place Dubai Wasl District,Twin Room with Sofa Bed,Yes,No,9247
"Occidental Al Jaddaf, Dubai","Deluxe Room, 20% F&B & Spa Discount, with Complimentary Shuttle to Dubai Mall & La Mer Beach",No,Yes,7082
Ibis Mall Of The Emirates,Standard Double Room,Yes,No,6890
"Holiday Inn Express Dubai Internet City, an IHG Hotel",King Room with Sofa Bed - Smoking,Yes,No,7873
"Radisson Blu Hotel, Dubai Media City",Executive Room with Lounge Access,No,Yes,12579
Millennium Place Dubai Marina,Superior King Room,Yes,No,15072
Flora Al Barsha Hotel At The Mall,Classic King/ Twin Room - Complimentary Transfer To Beach,Yes,No,9341
Wyndham Dubai Marina,One Bedroom Suite,Yes,No,14717
"The Apartments, Dubai World Trade Centre Hotel Apartments",Superior Double Room,Yes,No,6411
Hyatt Regency Dubai Creek Heights,King Room,Yes,No,16227
Beach Walk Hotel Jumeirah,"Superior Room Staycation Package (Includes complimentary coffee, beach towel, umbrella, free room upgrade, early check-in at 10am and late check-out at 5pm)",No,Yes,11831
"Holiday Inn Dubai Al-Maktoum Airport, an IHG Hotel","1 King Bed Standard Smoking City View -  Free Shuttle to Jumeirah Beach, Ibn Battuta Mall and Al Maktoum Airport - Shuttle requires advance booking ",Yes,No,9450
ibis Styles Dubai Deira,Standard Double Room,Yes,No,5283
"voco Dubai, an IHG Hotel",Deluxe ,No,Yes,13984
"Leva Hotel and Suites, Opposite Downtown",Deluxe Twin Atrium View,Yes,No,10115
Ibis Deira City Centre,Standard Twin Room,Yes,No,6459
Ibis Al Barsha,Twin Room,Yes,No,5684
Crowne Plaza Dubai Festival City,Standard Room,Yes,No,13757
The First Collection at Jumeirah Village Circle,Classic Double Room,Yes,No,11767
Novotel Suites Dubai Mall of the Emirates,Suite Room,Yes,No,10097
Delta Hotels by Marriott Dubai Investment Park,"Standard King Room with Shuttle Bus to JBR Beach, Palm Jumeirah and various shopping malls",Yes,No,5666
Al Khoory Courtyard Hotel,Superior Double or Twin Room,Yes,No,7225
CITY PALACE HOTEL,Standard Double Room,Yes,No,4743
"Holiday Inn & Suites - Dubai Science Park, an IHG Hotel",Standard King Room with City View - Smoking,Yes,No,8057
DoubleTree by Hilton Dubai - Business Bay,Two Double Beds Guest Room,Yes,No,17479
Citymax Hotel Al Barsha at the Mall, Twin Room with 20% off F&B,Yes,No,6369
Jumeirah Emirates Towers,Deluxe Room with Direct Connectivity to Museum of The Future,No,Yes,24930
Ibis Styles Dubai Jumeira,Standard Double Room,Yes,No,7730
Ibis Styles Dragon Mart Dubai,Standard Twin Room,Yes,No,5792
"Holiday Inn Express Dubai, Jumeirah, an IHG Hotel",Standard Double Room,Yes,No,7873
Taj Dubai,Luxury King Room with City View,Yes,No,21418
eStay Inn Hotel,Standard Queen Room,Yes,No,7649
City Seasons Suites,Premium Studio,No,Yes,7598
Hilton Dubai Al Habtoor City,King Guest Room,Yes,No,16471
"Four Points by Sheraton Production City, Dubai",Standard King Room (Complimentary Shuttle to DMCC Metro Station & Dubai Marina Mall),Yes,No,6743
City Seasons Hotel Dubai,Premium Twin Room,Yes,No,7434
Novotel Dubai Al Barsha,Superior Double Room,Yes,No,9567
Hyatt Regency Galleria Residence Dubai,Two Bedroom Family Apartment with Kitchen,No,Yes,15344
Fortune Park Hotel,Deluxe Room,No,Yes,6384
Aloft Dubai Airport,Aloft King Room - Complimentary Transfer to Dubai Mall / Burj Khalifa & DXB Airport Shuttle Drop Off,Yes,No,7230
"Copthorne Lakeview Hotel Dubai, Green Community",SUPERIOR ROOM,No,Yes,6069
Flora Inn Hotel Dubai Airport,Superior Room - Complimentary Transfer to the Beach,No,Yes,8914
"DAMAC Hills 2 Hotel, an Edge by Rotana Hotel",Guest Room – King Bed,Yes,No,5643
La Quinta by Wyndham Dubai Jumeirah,"Deluxe Room, 2 Twin Beds - Complimentary Transfer to La Mer Beach, Dubai Mall / Burj Khalifa Metro Station",Yes,No,7853
Al Khoory Sky Garden Hotel,Sky Classic Room,No,Yes,7136
Hyatt Place Dubai Al Rigga,Twin Room with Sofa Bed,Yes,No,9519
Majestic City Retreat Hotel,Economy Double or Twin Room,Yes,No,7104
"Holiday Inn & Suites - Dubai Festival City Mall, an IHG Hotel",Standard Waterfront Room,Yes,No,13689
Four Points by Sheraton Sheikh Zayed Road,Classic Twin Room with Balcony - Complimentary shuttle service to Dubai Mall and La Mer Beach,Yes,No,15842
Rove La Mer Beach,Rover Room,No,Yes,11305
Ink Hotel,Deluxe Canal View,No,Yes,10879
Mercure Dubai Barsha Heights Hotel Suites,"Deluxe Twin Suite City View 60m2 with Free Shuttle Beach Transfer, Next to Metro Station",Yes,No,10154
Copthorne Hotel Dubai,Superior King Room with City View,Yes,No,8669
Mercure Hotel Apartments Dubai Barsha Heights,"One Bedroom Apartment King with Free Shuttle Beach Transfer, Next to Metro Station",Yes,No,8975
Best Western Plus Pearl Creek,Standard Room,Yes,No,6215
Holiday International Hotel Embassy District,Standard Double Room,Yes,No,6854
Gulf Court Hotel Business Bay,Standard Room,Yes,No,11767
Hilton Garden Inn Dubai Al Muraqabat - Deira,"Superior King Room with Complimentary Shuttle Services to Dubai Mall, Burj Khalifa and La Mer Beach",Yes,No,7576
Radisson RED Dubai Silicon Oasis,Standard Double or Twin Room,Yes,No,10357
"Ramada Hotel, Suites and Apartments by Wyndham Dubai JBR",Deluxe King Room - Mobility and Hearing Impaired Access/Non-Smoking,Yes,No,14917
DoubleTree by Hilton Dubai M Square Hotel & Residences,King Room - Mobility Accessible,Yes,No,11045
Melody Queen Hotel by AURA,Standard Double Room,Yes,No,6792
Royal Ascot Hotel,Superior Deluxe Room,No,Yes,7951
GSS Palace Hotel,Standard Twin Room,Yes,No,3153
Gevora Hotel,Deluxe Room ,No,Yes,13860
Admiral Plaza Hotel,Superior Double Room,Yes,No,10199
The S Hotel Al Barsha,Executive King Room with 20% Off Food & Beverage (excluding in-room dining),Yes,No,7139
Rove At The Park,"Rover Room – Free Shuttle service to JBR beach, IBN Battuta Mall and Parks",No,Yes,5644
Dusit Thani Dubai,Deluxe Room,No,Yes,12713
TIME Oak Hotel & Suites,"Deluxe Room – Inclusive of 20% F&B discount, Late Check-Out, 25% on Laundry",No,Yes,8005
Hampton by Hilton Dubai Al Seef,King Room,Yes,No,7755
Movenpick Jumeirah Village Triangle,Superior King Room with City View,Yes,No,9066
JW Marriott Marquis Hotel Dubai,Deluxe King Room,Yes,No,26064
Grandeur Hotel Al Barsha,Executive Room,No,Yes,6157
Beach Walk Boutique Jumeirah,Classic,No,Yes,11864
Media One Hotel,Standard Double Room,Yes,No,15298
DoubleTree by Hilton Hotel and Residences Dubai – Al Barsha,Twin Guest Room,Yes,No,8953
Swissôtel Al Ghurair Dubai,Classic Twin Room ,Yes,No,10709
The Meydan Hotel Dubai,Grand Superior Balcony King,Yes,No,16454
"TIME Grand Plaza Hotel, Dubai Airport",Deluxe Twin Room- Inclusive of 20% F&B discount and Laundry,Yes,No,6459
"Holiday Inn Express Dubai Safa Park, an IHG Hotel",Standard  Room (Free shuttle bus to La Mer Beach and Dubai Mall),Yes,No,10539
Taj Jumeirah Lakes Towers,Superior Room king bed,No,Yes,18154
JA Ocean View Hotel,Double or Twin Room with Sea View,Yes,No,21214
Stella Di Mare Dubai Marina Hotel, Deluxe King Room City View,Yes,No,16545
Savoy Central Hotel Apartments,Special Offer - Studio - Free Bus service to La Mer Beach at Jumeirah with Beach Mats & Beach Towels,No,Yes,7751
"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",Twin Heritage Room,Yes,No,8895
Jacob's Garden Hotel,Deluxe Double Room,Yes,No,5711
DoubleTree by Hilton Dubai Al Jadaf,King Room (Inclusive of complimentary shuttle service to Dubai Mall & La Mer Beach),Yes,No,7412
"Sheraton Grand Hotel, Dubai","Deluxe Room, Guest room, King",Yes,No,14732
Best Western Plus Dubai Academic City,Standard Double Room - Non-Smoking,Yes,No,4259
"Sheraton Mall of the Emirates Hotel, Dubai","Superior King Room, City view",Yes,No,22437
Park Inn by Radisson Dubai Motor City,Superior Room with Autodrome Track View,No,Yes,12669
Riviera Hotel,"Standard Room Souk View, Balcony - Free Beach Transfer, 25% off Food & Beverage",Yes,No,6935
TIME Asma Hotel,"Deluxe King Room - Inclusive of 20% Discount on F&B, Laundry and SPA",Yes,No,8284
Excelsior Hotel Downtown,Superior King Room,Yes,No,10076
Citymax Hotel Al Barsha,Double Room with 20% off F&B,Yes,No,6255
Citymax Hotel Bur Dubai,Double Room - includes 20% off Food & Beverage (excluding in-room dining),Yes,No,4827
???? ??? ????,Suite,Yes,No,2946
Royal Regency Suites Marina,Standard Studio,Yes,No,11288
Cube Hotel Dubai formerly Al Buraq Hotel Al Ras,Double Room,Yes,No,3672
Oaks Ibn Battuta Gate Dubai,Premier Room with Free access to a Private Beach Club,No,Yes,16318
Carlton Downtown Hotel,Deluxe Room,No,Yes,13044
Aloft Dubai Creek,"Aloft Room, Guest room, King, City view",Yes,No,9043
Grand Heights Hotel Apartments,Classic Studio,No,Yes,9806
SO Uptown Dubai,Collection King Room,Yes,No,22437
Four Points by Sheraton Bur Dubai,Classic Twin Room with complimentary shuttle service to Dubai Mall & La Mer Beach,Yes,No,7995
Millennium Plaza Downtown Suites,Family Suite,Yes,No,10097
"V Hotel Dubai, Curio Collection by Hilton",Two Queen Beds Deluxe Room,No,Yes,15502
The Manor By JA,Simplicity ,No,Yes,5140
"Courtyard by Marriott Dubai, Al Barsha",Standard King Room,Yes,No,12749
"Le Meridien Dubai Hotel, Royal Club & Conference Centre","Deluxe Room, Guest room, 1 Queen, Garden view - Complimentary Transfer to Dubai Mall / Burj Khalifa & DXB Airport Shuttle Drop Off",No,Yes,16998
Grand Excelsior Hotel Al Barsha,Superior King/ Twin Room (Complimentary Shuttle to the Beach and Mall of the Emirates),Yes,No,8074
Comfort Inn Hotel Deira,Standard Double Room,Yes,No,3604
25hours Hotel Dubai One Central,Glamping Large Room with Twin Beds,Yes,No,15196
Le Meridien Fairway,"Deluxe Room – Complimentary Access/Transfers to Le Meridien Dubai Hotel & Conference Pool Area, 30% Discount in All Bar/Restaurants",No,Yes,8159
Shangri-La Dubai,Deluxe King Room with Sea View,Yes,No,21418
Savoy Crest Hotel Apartment - Bur Dubai,Deluxe Studio Suite - Free Bus service to La Mer Beach at Jumeirah with Beach Mats & Beach Towels,Yes,No,7180
Kempinski Hotel Mall of the Emirates,Superior Room,No,Yes,27043
Hyatt Centric Jumeirah Dubai,King Room with Balcony and Skyline View,Yes,No,19264
Pullman Dubai Creek City Centre,Superior Double Room,Yes,No,11219
Jood Hotel Apartments,Deluxe Two - Bedroom Apartment,No,Yes,24930
Grayton Hotel by Blazon Hotels,Classic Room King,Yes,No,9398
Rove Expo 2020,Cosy Rover Room,No,Yes,4282
Aparthotel Adagio Dubai Deira,Studio Deluxe - 20% off Food & Beverage,No,Yes,7665
Mövenpick Hotel Jumeirah Lakes Towers Dubai,Superior Twin Room,Yes,No,14707
RAF Hotel Apartments,Deluxe Studio,No,Yes,7643
"Radisson Blu Residence, Dubai Marina",Studio,No,Yes,20284
Days Hotel By Wyndham Dubai Deira,"Superior Queen Room, City View, 25% off Spa",No,Yes,7819
Novotel Bur Dubai - Healthcare City,Superior Twin Room,Yes,No,7527
Flora Creek Deluxe Hotel Apartments,Studio Apartment,No,Yes,13156
Premier Inn Dubai International Airport,Double Room - Free DXB Airport Shuttle Every 30 mins to T3 & T1,Yes,No,5813
NH Collection Dubai The Palm,Studio,No,Yes,20709
Park Regis Business Bay,"Standard Room, 20% off food and beverage, excluding signature dishes, 20% off Laundry and 10% off Spa",Yes,No,9250
Studio One Hotel,Guest Room,No,Yes,8621
Sheraton Dubai Creek Hotel & Towers,"Deluxe Room, Guest room, 1 King, City view",Yes,No,11332
Rose Rayhaan by Rotana - Dubai,Guest Room – King or Twin Beds,Yes,No,11867
Arjaan by Rotana - Dubai Media City,City View One Bedroom Suite,Yes,No,9567
Fairmont Dubai,Fairmont Twin Room,Yes,No,14732
Edge Creekside Hotel,Deluxe King Room,Yes,No,7253
The H Dubai,Deluxe King Room,Yes,No,14299
Grand Hyatt Dubai,King Room with Skyline View ,Yes,No,21531
Hilton Garden Inn Dubai Al Mina - Jumeirah,"Superior King Room with Complimentary Shuttle Services to Dubai Mall, Burj Khalifa and La Mer Beach",Yes,No,7267
"FORM Hotel Dubai, a Member of Design Hotels",Ideal King Room with City View ,Yes,No,5813
Grand Mercure Dubai,Superior King,Yes,No,11270
Premier Inn Dubai Dragon Mart,Double Room,Yes,No,4508
Sofitel Dubai The Obelisk,Deluxe Room,No,Yes,17221
Premier Inn Dubai Al Jaddaf,Family Room,No,Yes,6017
Grand Plaza Mövenpick,Superior King Room,Yes,No,18131
"Al Khoory Executive Hotel, Al Wasl",Deluxe Double or Twin Room,Yes,No,7194
Millennium Al Barsha,Deluxe King Room,Yes,No,9077
Towers Rotana - Dubai,Guest room - Twin beds,Yes,No,12135
Aloft Dubai South,Aloft Room - King Bed (Complimentary Shuttle to Expo Metro Station & Al Maktoum International Airport),Yes,No,5079
"Hotel Indigo Dubai Downtown, an IHG Hotel",1 King Bed Standard Creek View w complimentary transfer to  Kite Beach & Dubai Mall,Yes,No,16522
Pullman Dubai Jumeirah Lakes Towers,"Superior King Room, including free beach transfer",Yes,No,15298
Conrad Dubai,Deluxe Double Room with two Double Beds and Skyline View,Yes,No,17828
Millennium Atria Business Bay,Premium Studio,No,Yes,13646
Citadines Metro Central Apartments,Executive Studio,No,Yes,10191
Studio M Arabian Plaza Hotel & Hotel Apartments,King Bed,Yes,No,7202
"Element Al Jaddaf, Dubai","Studio with King Bed (Complimentary Transfer to Dubai Mall, Festival City Mall, La Mer Beach & Al Jaddaf Metro)",Yes,No,10595
Paramount Hotel Dubai,Partner offer option,No,Yes,14616
"Arabian Park Dubai, an Edge by Rotana Hotel",City View Room - Twin Beds,Yes,No,6471
Golden Sands Hotel Apartments,Deluxe Studio - Golden Sands 5,No,Yes,10593
The St Regis Downtown Dubai,Superior King Room with Partial Burj Khalifa or Downtown View including Signature St. Regis Butler Service,Yes,No,30596
Paramount Hotel Midtown,Scene Room Duet,No,Yes,22437
Sun & Sands Sea View Hotel,Standard Double or Twin Room,Yes,No,3969
Baity Hotel Apartments,Deluxe One-Bedroom Apartment,No,Yes,7139
Anantara Downtown Dubai,Premier City View Room,No,Yes,19196
The Tower Plaza Hotel Dubai,SUPERIOR ROOM,No,Yes,10318
Gateway Hotel,Deluxe Twin Room,Yes,No,8656
"Residence Inn by Marriott Sheikh Zayed Road, Dubai","Deluxe Studio with 1 King, City view",Yes,No,13485
"Zabeel House by Jumeirah, The Greens",Popular Room (Late Check-Out at 2pm),No,Yes,16091
"Crowne Plaza - Dubai Jumeirah, an IHG Hotel",1 King Bed Standard Smoking,Yes,No,12545
Centro Barsha - by Rotana,Centro Room – Queen Bed,No,Yes,6099
"Element Me'aisam, Dubai","Studio Apartment – King Bed (Complimentary Breakfast & Shuttle to Sobha Realty Metro Station, JBR Beach & Mall of the Emirates)",Yes,No,6723
City Premiere Marina Hotel Apartments,Standard One-Bedroom Apartment,Yes,No,11971
Pyramisa Hotel Apartments,Studio King Disabled,Yes,No,5079
Sofitel Dubai Downtown,Luxury King Room,Yes,No,21397
Hyatt Place Dubai Jumeirah,Twin Room with Sofa Bed,Yes,No,11785
Wescott Hotel,Superior Queen Room,No,Yes,5156
Canopy by Hilton Dubai Al Seef,King Room with City View,Yes,No,9573
"voco - Bonnington Dubai, an IHG Hotel",Premium Twin Room with View - High Floor,Yes,No,14826
Ramee Rose Hotel,Standard Double or Twin Room,Yes,No,4823
Claridge Hotel,Deluxe Double Room,Yes,No,5255
"Holiday Inn Dubai Al Barsha, an IHG Hotel",Standard Room,Yes,No,7901
Icon Delux Hotel Apartments Al Barsha - Formerly Abidos,Deluxe One-Bedroom Apartment,No,Yes,7343
Grand Millennium Business Bay,SUPERIOR ROOM,No,Yes,13698
Avani Deira Dubai Hotel,AVANI Room,No,Yes,5569
Raintree Rolla Hotel,Deluxe Room,No,Yes,3822
The Bristol Inn Hotel,Standard King Room,Yes,No,4353
MRA Grand Hotel,Deluxe Double or Twin Room,Yes,No,2946
Restay adderss dubai mall,Deluxe Studio,No,Yes,45328
Asiana Grand Hotel,Deluxe King Room – Beach transfer & Free Shuttle to Deira city center mall,Yes,No,11015
Mövenpick Grand Al Bustan,"Classic King Room, 20% off on F&B, Complimentary shuttle to Dubai Festival City Mall",Yes,No,11129
"Crowne Plaza Dubai Marina, an IHG Hotel",Premium Marina View Room,No,Yes,22050
Gulf Oasis Hotel Apartments Fz LLC,Studio Apartment,No,Yes,6918
Ramada Plaza by Wyndham Dubai Deira,Deluxe King Room - Non-Smoking,Yes,No,8159
Class Hotel Apartments,Standard Studio Apartment,Yes,No,9791
Carlton Dubai Creek Hotel,Studio Room - City View,No,Yes,8261
Premier Inn Dubai Ibn Battuta Mall,Standard Twin Room - Non-Smoking,Yes,No,5115
Al Khaleej Palace Deira Hotel,Deluxe King Room,Yes,No,4825
The Muse,Deluxe Loft Studio,No,Yes,12239
Hyde Hotel Dubai,Hyde Out Plus Room with Balcony and Dubai Canal View,No,Yes,20398
Jumeirah Creekside Hotel,Deluxe Room - Includes late check-out until 2pm,No,Yes,14732
"Grosvenor House, a Luxury Collection Hotel, Dubai","Deluxe Room, With Complimentary Resort Beach & Pool Access, Guest room, 1 King",Yes,No,26064
Sofitel Dubai Jumeirah Beach,Superior Room with Two Single Beds - Partial Sea View/Pool Access,No,Yes,26497
"Amwaj Rotana, Jumeirah Beach - Dubai",Newly Renovated - Ain Dubai Sea View Room with Balcony - King Bed,Yes,No,26290
Rove City Walk,Rover Room,No,Yes,13570
"Aloft Al Mina, Dubai",Aloft Room Guest Room with 1 King Bed - Complimentary Transfer to Dubai Mall / Burj Khalifa & DXB Airport Shuttle Drop Off,Yes,No,8386
Premier Inn Dubai Silicon Oasis,Family Room,No,Yes,5609
Avani Plus Palm View Dubai Hotel & Suites,"Staycation Package - One Bedroom Sea View Apartment, Dinner Included",No,Yes,32258
Manzil Downtown by Vida,Deluxe Room,No,Yes,20375
Ivory Grand Hotel Apartments,Studio,No,Yes,7139
Pullman Dubai Downtown,Superior King Room,Yes,No,20398
Media Rotana Dubai,Guest Room – Twin Beds,Yes,No,10312
Blue Beach Tower The Walk JBR,Deluxe Two-Bedroom Apartment,No,Yes,19582
Novotel Deira City Centre,Executive Double Room,Yes,No,15865
City Avenue Al Reqqa Hotel,Standard Double or Twin Room,Yes,No,4986
Hyatt Place Dubai Al Rigga Residences,Studio with Kitchen,No,Yes,8576
Elite Byblos Hotel,Classic room,No,Yes,6601
Palazzo Versace Dubai,Deluxe Versace Room with City View ,No,Yes,29879
"Staybridge Suites Dubai Internet City, an IHG Hotel",Studio Suite,Yes,No,12522
Mövenpick Hotel & Apartments Dubai,Superior King Room - Complimentary Transfer to La Mer Beach and Dubai Mall / Burj Khalifa,Yes,No,10199
"Citadines Culture Village Dubai, Waterfront Jadaf",Standard Room with and without Balcony (Main Road),Yes,No,6645
City Avenue Hotel,Standard Double or Twin Room,Yes,No,5099
Lotus Grand Hotel, Deluxe Double or Twin Room,Yes,No,4019
Roda Amwaj Suites Jumeirah Beach Residence,1 Bedroom Apartment,No,Yes,16598
Sonder Business Bay,Studio Apartment,No,Yes,20011
City Premiere Hotel Apartments - Dubai,Standard One-Bedroom Apartment,Yes,No,8745
"Staybridge Suites Dubai Al-Maktoum Airport, an IHG Hotel","1 King bed Studio Suite City View -  Free Shuttle to Jumeirah Beach, Ibn Battuta Mall and Al Maktoum Airport",Yes,No,8118
FORTUNE ATRIUM HOTEL,Standard Room,Yes,No,4951
Adagio Premium The Palm,Studio King with Private Beach Access,Yes,No,22211
SLS Dubai Hotel & Residences,Signature King Room With balcony,Yes,No,28557
Golden Sands Boutique Hotel-Dubai Creek,Deluxe Twin Room,Yes,No,15584
Savoy Suites Hotel Apartment - Newly Renovated,Studio Suite - Free Bus service to La Mer Beach at Jumeirah with Beach Mats & Beach Towels,Yes,No,8788
Residence Inn by Marriott Al Jaddaf,"Studio Suite, 1 King, Balcony",Yes,No,12239
"Staybridge Suites Dubai Financial Centre, an IHG Hotel",Studio Suite,Yes,No,14278
Le Wana Hotel,Executive Double or Twin Room,Yes,No,6298
"Marriott Resort Palm Jumeirah, Dubai",Deluxe King Room with Partial Sea View,Yes,No,41985
Fortune Deira Hotel,Standard Room,Yes,No,3640
Millennium Executive Apartments Mont Rose,Superior Studio,No,Yes,7649
ROYAL CONCORDE HOTEL&SUITE,Deluxe King Suite,Yes,No,13258
Marriott Executive Apartments Dubai Al Jaddaf,One-Bedroom Apartment (Complimentary Shuttle to La Mer and Dubai Mall),No,Yes,14732
Novotel World Trade Centre Dubai,Superior Family Room,No,Yes,11844
Mövenpick Hotel Apartments Al Mamzar Dubai,Superior King Room,Yes,No,7139
"Rove City Centre, Deira",Rover Room – Free DXB Airport shuttle service every one hour to T1 & T3,No,Yes,6772
"voco Dubai The Palm, an IHG Hotel",Deluxe Twin Room with Palm Side Sea View ,Yes,No,25025
York International Hotel,Standard King Room,Yes,No,3128
URBAN Al Khoory Hotel,Classic Room,No,Yes,7131
Pullman Dubai Creek City Centre Residences,One-Bedroom Apartment with City View,No,Yes,15298
Al Khoory Atrium,Superior Double or Twin Room,Yes,No,7674
Sea View Hotel Dubai,Partner offer option,No,Yes,6289
Akas-Inn Hotel Apartment,Studio Apartment,No,Yes,5099
Rove Dubai Marina,Rover Room,No,Yes,11305
Rove Trade Centre,Rover Room,No,Yes,6774
Grand Excelsior Hotel Deira,Deluxe King,Yes,No,5686
Landmark Summit Hotel,Deluxe Double - King,Yes,No,5328
Rove Downtown,Rover Room,No,Yes,12438
Ibis World Trade Centre,Standard Double Room,Yes,No,5666
Marina Byblos Hotel,Deluxe Double Room,Yes,No,11504
Majestic Premier Hotel Burdubai,"Classic Room, 1 King",Yes,No,8715
Gulf Inn Hotel Al Nasr Formerly Roda Links Al Nasr,Classic King Room,Yes,No,4628
Jumeirah Living Marina Gate Hotel and Apartments,Executive Studio,No,Yes,28783
BOONMAX Hotel,Deluxe Twin Room,Yes,No,2550
"Jumeirah Living World Trade Centre Residence, Suites and Hotel Apartments",One-Bedroom Residence ,No,Yes,16862
JA Lake View Hotel (JA The Resort),DeLuxe Room,No,Yes,20987
YouCo Dubai,Deluxe Studio,No,Yes,11627
Villa Rotana - Dubai,Studio – Twin Bed,Yes,No,10673
The Dubai EDITION,Guest King Room with Balcony,Yes,No,36580
OYO 367 Eureka Hotel,Standard Twin Room,Yes,No,3297
Hyatt Place Dubai Jumeirah Residences,Studio with Kitchen,No,Yes,9356
TIME Onyx Hotel Apartments,Studio,No,Yes,9689
"Crowne Plaza Dubai Deira, an IHG Hotel",Deluxe King Room - Non Smoking,Yes,No,11151
ABJAD CROWN HOTEL,Standard Twin Room,Yes,No,3665
Vista City Hotel,Deluxe Double Room,Yes,No,5507
Kingsgate Canal Hotel by Millennium,Standard King Room,Yes,No,4875
Millennium Central Downtown,Standard King Room,Yes,No,11332
Grand Central Hotel,Deluxe Double Room,Yes,No,4495
Revier Hotel - Dubai,My Pad,No,Yes,11896
"The St. Regis Dubai, The Palm",Deluxe Twin Room with City View,Yes,No,39096
ME Dubai by Meliá,Always ME,No,Yes,22424
Premier Inn Dubai Barsha Heights,Family Room - Free Shuttle to Public Beach,No,Yes,6731
Raffles Dubai,Signature Twin Room,Yes,No,24296
Dorus Hotel,Deluxe Double Room,Yes,No,4002
Fortune Pearl Hotel,Standard Double Room,Yes,No,3746
Dubai Marriott Harbour Hotel And Suites,One-Bedroom Suite with City View,Yes,No,23233
Savoy Park Hotel Apartments,"Classic Studio Suite with Complimentary Shuttle to La Mer Beach (inclusive of Beach Mats & Beach Towels), BurJuman Mall and Outlet Mall",Yes,No,21091
City Stay Premium Hotel Apartments,Deluxe King Studio,Yes,No,5099
Ramada by Wyndham Dubai Barsha Heights,Standard King Room - Non-Smoking,Yes,No,9315
"Habtoor Palace Dubai, LXR Hotels & Resorts",Deluxe King Room,Yes,No,24513
Park Hyatt Dubai,King Room,Yes,No,38416
MENA Plaza Hotel Albarsha At The Mall,"Deluxe King Non Smoking Room - 20% off F&B, Laundry and Spa",Yes,No,8261
Vida Dubai Marina & Yacht Club,City View Deluxe Room with Private Balcony King ,Yes,No,18109
"Rose Park Hotel - Al Barsha, Opposite Metro Station",Deluxe King Room - Late check-out 2 pm,Yes,No,9074
Montreal Barsha Hotel,Deluxe Room,No,Yes,4079
Fortune Karama Hotel,Standard  Room,Yes,No,4544
Mövenpick Hotel Apartments Downtown Dubai,Deluxe King - Burj Khalifa View,Yes,No,19922
Grand Hyatt Residence,Two-Bedroom Apartment,No,Yes,36263
Grand Astoria Hotel,Standard Double or Twin Room,Yes,No,4281
Al Manar Grand Hotel Apartment,Studio,No,Yes,4949
Abidos Hotel Apartment Dubai Land,Deluxe One Bedroom Apartment with Balcony,No,Yes,8605
Phoenix Hotel,Superior Deluxe Double or Twin Room ,Yes,No,4267
Ecos Dubai Hotel at Al Furjan,Double Double Standard,Yes,No,8168
Two Seasons Hotel & Apartments,Deluxe Suite with City View with Free Shuttle Beach & Mall Transfer,Yes,No,12630
Nassima Tower Hotel Apartments,One-Bedroom Apartment,No,Yes,13995
Landmark Hotel,Classic  Room with Double Bed,Yes,No,5245
Wyndham Residences The Palm,Deluxe Studio Sea View with Private Beach Access,No,Yes,23457
Pearl Marina Hotel Apartments,Deluxe Studio with Free Beach Transfer and 15% F&B Discount,No,Yes,8775
