Hotel Name,City,Location,StarRating,ReviewScore,Rating,ReviewCount
Toby Carvery Birmingham by Innkeeper's Collection,Birmingham,Birmingham,3,8.2,Very good,
Ladywell House Suites - Chinatown - Self Check-in,Birmingham,Birmingham Shopping District,3,7.5,Good,
Centrally Located Stylish Apartments,Birmingham,Birmingham,3,5.8,Review score,
Luxe 1 Bedroom Comfy Apartment - City Centre,Birmingham,Birmingham City Centre,4,8.4,Very good,
Luxury 9ine Garden Apartment,Birmingham,Digbeth,3,7.2,Good,
3 Bedroom House in Birmingham with Free Parking,Birmingham,Birmingham,3,9,Superb,
Modern 1-Bed Apartment in Birmingham,Birmingham,Birmingham City Centre,3,10,Exceptional,
Contemporary 2 bedroom Apartment - Birmingham City Centre - Digbeth Bullring,Birmingham,Birmingham City Centre,3,7.9,Good,
Studio M Al Barsha Hotel by Millennium,Dubai,Al Barsha,3,8.3,Very good,3312
The First Collection Business Bay,Dubai,Business Bay,4,8.8,Fabulous,7449
"The Ritz-Carlton, Dubai International Financial Centre",Dubai,Trade Centre,5,8.5,Very good,590
Savoy Suites Hotel Apartment - Newly Renovated,Dubai,Bur Dubai,4,8.1,Very good,1490
Resivation Hotel,Dubai,Dubai,2,8.1,Very good,1855
DoubleTree by Hilton Dubai M Square Hotel & Residences,Dubai,Bur Dubai,5,8.5,Very good,2648
Signature Inn Hotel - Free Parking,Dubai,Deira,3,5,Review score,48
Grand Bellevue Hotel Apartment Dubai,Dubai,Barsha Heights (Tecom) ,4,7.3,Good,967
"Holiday Inn Express Dubai Airport, an IHG Hotel",Dubai,Garhoud,3,7.8,Good,15964
ibis Styles Dubai Airport Hotel,Dubai,Garhoud,3,7.7,Good,10677
Premier Inn Dubai International Airport,Dubai,Garhoud,3,8.3,Very good,15765
Queen Elizabeth 2 Hotel,Dubai,Bur Dubai,4,7.8,Good,4316
IntercityHotel Dubai Jaddaf Waterfront,Dubai,Bur Dubai,3,8,Very good,3447
First Central Hotel Suites,Dubai,Barsha Heights (Tecom) ,4,8.7,Fabulous,7350
"DAMAC Hills 2 Hotel, an Edge by Rotana Hotel",Dubai,Dubai,3,8.3,Very good,474
Ibis Al Rigga,Dubai,Deira,3,7.7,Good,6772
Ibis Deira City Centre,Dubai,Deira,3,7.6,Good,5441
City Seasons Towers Hotel Bur Dubai,Dubai,Bur Dubai,4,7.4,Good,7414
"Mercure Gold Hotel, Jumeirah, Dubai",Dubai,Beach & Coast,4,7.6,Good,3617
"Staybridge Suites Dubai Al-Maktoum Airport, an IHG Hotel",Dubai,Dubai World Central,4,8,Very good,981
Delta Hotels by Marriott Dubai Investment Park,Dubai,Dubai Investment Park,4,8.3,Very good,1494
The First Collection at Jumeirah Village Circle,Dubai,Dubai,4,8.6,Fabulous,9716
Hilton Garden Inn Dubai Al Muraqabat - Deira,Dubai,Deira,4,7.4,Good,1089
"Holiday Inn Express Dubai Safa Park, an IHG Hotel",Dubai,Al Wasl,3,7.9,Good,2879
CITY PALACE HOTEL,Dubai,Bur Dubai,3,6.5,Review score,294
Ibis Styles Dragon Mart Dubai,Dubai,International City ,3,7.2,Good,3533
Ibis One Central - World Trade Centre Dubai,Dubai,Trade Centre,3,7.4,Good,4784
Ramada by Wyndham Dubai Deira,Dubai,Deira,4,8,Very good,7671
"Holiday Inn Express Dubai Internet City, an IHG Hotel",Dubai,Dubai Internet City,3,8.2,Very good,3694
Ibis Al Barsha,Dubai,Al Barsha,3,6.8,Review score,5987
Excelsior Hotel Downtown,Dubai,Deira,4,7.8,Good,2114
"Holiday Inn Dubai Al-Maktoum Airport, an IHG Hotel",Dubai,Dubai World Central,4,7.8,Good,2797
MÃ¶venpick Hotel Apartments Al Mamzar Dubai,Dubai,Dubai,5,7.8,Good,2017
"Leva Hotel and Suites, Opposite Downtown",Dubai,Al Wasl,4,8.6,Fabulous,6694
Hampton By Hilton Dubai Airport,Dubai,Al Qusais,3,7.4,Good,4646
"Millennium Plaza Downtown, Dubai",Dubai,Trade Centre,5,7.2,Good,1485
Millennium Airport Hotel Dubai,Dubai,Garhoud,4,8.2,Very good,10133
Hilton Garden Inn Dubai Mall Of The Emirates,Dubai,Al Barsha,4,8.3,Very good,
Grand Mercure Hotel and Residences Dubai Airport,Dubai,Garhoud,5,8.1,Very good,6319
MRA Grand Hotel,Dubai,Bur Dubai,2,6.2,Review score,645
City Seasons Hotel Dubai,Dubai,Deira,4,7.5,Good,5331
Holiday International Hotel Embassy District,Dubai,Bur Dubai,4,8.2,Very good,744
Ibis Mall Of The Emirates,Dubai,Al Barsha,3,7.5,Good,5387
Avani Deira Dubai Hotel,Dubai,Deira,5,7.7,Good,868
Novotel Jumeirah Village Triangle,Dubai,Dubai,4,7.5,Good,6506
Jacob's Garden Hotel,Dubai,Bur Dubai,4,7.9,Good,982
Radisson Dubai Damac Hills,Dubai,Dubai,4,8.4,Very good,2455
Le Meridien Fairway,Dubai,Garhoud,4,8.2,Very good,648
Howard Johnson Plaza by Wyndham Dubai Deira,Dubai,Deira,4,7.3,Good,10322
Ibis Styles Dubai Jumeira,Dubai,Beach & Coast,3,7.7,Good,4388
Rove Expo 2020,Dubai,Dubai World Central,3,8.9,Fabulous,3425
"Radisson Blu Hotel, Dubai Deira Creek",Dubai,Deira,5,8.4,Very good,6882
La Quinta by Wyndham Dubai Jumeirah,Dubai,Bur Dubai,4,7.9,Good,832
Grand Excelsior Hotel - Bur Dubai,Dubai,Bur Dubai,4,8,Very good,3933
"TIME Grand Plaza Hotel, Dubai Airport",Dubai,Al Qusais,4,7.9,Good,3023
Ramada Downtown Dubai,Dubai,Downtown Dubai,4,8.5,Very good,8016
"Holiday Inn Express Dubai, Jumeirah, an IHG Hotel",Dubai,Beach & Coast,2,8,Very good,2538
"Lemon Tree Hotel, Jumeirah Dubai",Dubai,Beach & Coast,4,8.3,Very good,1953
"Zabeel House by Jumeirah, The Greens",Dubai,The Greens,4,8.9,Fabulous,1534
Novotel Suites Dubai Mall of the Emirates,Dubai,Al Barsha,3,7.8,Good,3257
The Manor By JA,Dubai,Dubai,4,8.4,Very good,3542
Aloft Dubai Airport,Dubai,Garhoud,4,8.3,Very good,3196
Aloft Dubai South,Dubai,Dubai World Central,4,8.1,Very good,401
Le Paradise Palace,Dubai,Deira,3,6.4,Review score,332
"Four Points by Sheraton Production City, Dubai",Dubai,Dubai Production City ,4,8.3,Very good,1323
Novotel Dubai Al Barsha,Dubai,Al Barsha,4,7.5,Good,2333
"Holiday Inn & Suites - Dubai Science Park, an IHG Hotel",Dubai,Dubai,4,8.9,Fabulous,179
Metropolitan Hotel Dubai,Dubai,Beach & Coast,4,8.2,Very good,2869
eStay Inn Hotel,Dubai,Dubai,3,7.5,Good,225
Dusit D2 Kenz Hotel Dubai,Dubai,Barsha Heights (Tecom) ,4,8.9,Fabulous,6625
Grandeur Hotel Al Barsha,Dubai,Al Barsha,4,7.9,Good,1650
Super 8 by Wyndham Dubai Deira,Dubai,Deira,2,8.1,Very good,2533
Citymax Hotel Al Barsha at the Mall,Dubai,Al Barsha,3,7.9,Good,7682
Kingsgate Al Jaddaf Hotel by Millennium,Dubai,Bur Dubai,3,6.9,Review score,1106
Citymax Hotel Business Bay,Dubai,Business Bay,4,7.8,Good,7828
Hyatt Place Dubai Wasl District,Dubai,Deira,4,8,Very good,4663
OSTAY - Address Dubai Mall -The residence,Dubai,Downtown Dubai,5,9,Superb,119
ibis Styles Dubai Deira,Dubai,Deira,3,8.3,Very good,2346
Taj Dubai,Dubai,Business Bay,5,8.9,Fabulous,6117
Hilton Garden Inn Dubai Al Mina - Jumeirah,Dubai,Beach & Coast,4,7.2,Good,873
Hampton By Hilton Dubai Al Barsha,Dubai,Al Barsha,3,8.2,Very good,3118
Flora Inn Hotel Dubai Airport,Dubai,Garhoud,4,8.1,Very good,13950
Park Inn by Radisson Dubai Motor City,Dubai,Dubai,4,8.1,Very good,1401
York International Hotel,Dubai,Bur Dubai,3,4.1,Review score,4190
Radisson RED Dubai Silicon Oasis,Dubai,Dubai Silicon Oasis,4,7.9,Good,1547
Rove At The Park,Dubai,Dubai World Central,3,8.9,Fabulous,4768
Adagio Jumeirah Village Triangle,Dubai,Dubai,4,7.5,Good,502
SwissÃ´tel Al Murooj Dubai,Dubai,Trade Centre,5,7.9,Good,8221
DoubleTree by Hilton Hotel and Residences Dubai â Al Barsha,Dubai,Al Barsha,4,7.3,Good,1679
City Seasons Suites,Dubai,Deira,4,8.7,Fabulous,1175
TRYP by Wyndham Dubai,Dubai,Barsha Heights (Tecom) ,4,8.4,Very good,16707
GSS Palace Hotel,Dubai,Deira,3,5.3,Review score,24
RAF Hotel Apartments,Dubai,Dubai,4,7.4,Good,545
"Copthorne Lakeview Hotel Dubai, Green Community",Dubai,Dubai Investment Park,4,7.9,Good,2309
Copthorne Hotel Dubai,Dubai,Deira,4,7.9,Good,3335
Raintree Rolla Hotel,Dubai,Bur Dubai,4,4.6,Review score,3058
OYO 367 Eureka Hotel,Dubai,Deira,2,5.6,Review score,
Restay adderss dubai mall,Dubai,Downtown Dubai,5,8.3,Very good,13
Ink Hotel,Dubai,Bur Dubai,4,8.1,Very good,2607
Dusit Thani Dubai,Dubai,Trade Centre,5,8.3,Very good,3830
Beach Walk Hotel Jumeirah,Dubai,Umm Suqeim,4,8.5,Very good,1333
Beach Walk Boutique Jumeirah,Dubai,Umm Suqeim,3,8.4,Very good,756
Citymax Hotel Al Barsha,Dubai,Al Barsha,3,7.8,Good,2291
"Holiday Inn & Suites - Dubai Festival City Mall, an IHG Hotel",Dubai,Dubai Festival City,4,8.7,Fabulous,4376
SO Uptown Dubai,Dubai,Dubai,5,9.7,Exceptional,76
"voco Dubai, an IHG Hotel",Dubai,Trade Centre,5,8.2,Very good,3523
Premier Inn Dubai Ibn Battuta Mall,Dubai,Discovery Gardens,3,8.1,Very good,8165
"Radisson Blu Hotel, Dubai Media City",Dubai,Dubai Media City,4,7.8,Good,2187
Royal Ascot Hotel,Dubai,Bur Dubai,4,7.5,Good,3597
Marina Byblos Hotel,Dubai,Dubai Marina,4,7.6,Good,3413
BOONMAX Hotel,Dubai,Deira,3,5.3,Review score,2230
Saffron Hotel,Dubai,Deira,2,6.3,Review score,467
Grand Kingsgate Waterfront Hotel by Millennium,Dubai,Bur Dubai,4,7.3,Good,1741
MÃ¶venpick Hotel Jumeirah Lakes Towers Dubai,Dubai,Jumeirah Lakes Towers,5,7.8,Good,2425
Canal Central Hotel,Dubai,Business Bay,5,8.5,Very good,6386
DoubleTree by Hilton Dubai Al Jadaf,Dubai,Bur Dubai,4,8.1,Very good,3245
Hyatt Place Dubai Baniyas Square,Dubai,Deira,4,7.9,Good,2470
Atana Hotel,Dubai,Barsha Heights (Tecom) ,4,7.9,Good,20119
Hive Hotel,Dubai,Deira,3,6.2,Review score,3044
"Le Meridien Dubai Hotel, Royal Club & Conference Centre",Dubai,Garhoud,5,8.6,Fabulous,
The Canvas Dubai - MGallery Hotel Collection,Dubai,Bur Dubai,5,7.4,Good,2448
THE K HOTEL,Dubai,Deira,3,6.6,Review score,220
"Radisson Blu Hotel, Dubai Waterfront",Dubai,Business Bay,5,8.2,Very good,9605
Premier Inn Dubai Investments Park,Dubai,Dubai Investment Park,3,8.3,Very good,4503
Premier Inn Dubai Dragon Mart,Dubai,International City ,3,7.7,Good,1057
Millennium Plaza Downtown Suites,Dubai,Trade Centre,3,7.5,Good,670
URBAN Al Khoory Hotel,Dubai,Dubai,3,8.4,Very good,2373
DoubleTree by Hilton Dubai - Business Bay,Dubai,Business Bay,4,8.8,Fabulous,3571
Aparthotel Adagio Dubai Deira,Dubai,Deira,4,8,Very good,1714
Edge Creekside Hotel,Dubai,Deira,4,9,Superb,3018
Rove La Mer Beach,Dubai,Beach & Coast,3,8.9,Fabulous,7253
"Arabian Park Dubai, an Edge by Rotana Hotel",Dubai,Bur Dubai,3,8.6,Fabulous,1321
Grand Excelsior Hotel Al Barsha,Dubai,Al Barsha,4,7.3,Good,5622
Dorus Hotel,Dubai,Deira,4,4.9,Review score,1521
Asiana Grand Hotel,Dubai,Deira,5,8.4,Very good,799
"Holiday Inn Dubai Al Barsha, an IHG Hotel",Dubai,Al Barsha,4,7.5,Good,1281
Golden Tulip Media Hotel,Dubai,Barsha Heights (Tecom) ,4,8.6,Fabulous,7868
Three 888 Hotel,Dubai,Deira,2,6.5,Review score,161
JA Ocean View Hotel,Dubai,Jumeirah Beach Residence,5,8.3,Very good,5051
Mercure Hotel Apartments Dubai Barsha Heights,Dubai,Barsha Heights (Tecom) ,4,7.9,Good,3944
Novotel Bur Dubai - Healthcare City,Dubai,Bur Dubai,4,8.2,Very good,
Rove Trade Centre,Dubai,Trade Centre,3,9.1,Superb,7376
Kingsgate Canal Hotel by Millennium,Dubai,Bur Dubai,3,7.1,Good,1396
Marhaba Deira Hotel,Dubai,Deira,2,7,Good,30
Ramada Plaza by Wyndham Dubai Deira,Dubai,Deira,4,7.1,Good,2266
Mercure Dubai Barsha Heights Hotel Suites,Dubai,Barsha Heights (Tecom) ,4,8.4,Very good,6338
"Hotel Indigo Dubai Downtown, an IHG Hotel",Dubai,Business Bay,5,8.9,Fabulous,2732
City Avenue Hotel,Dubai,Deira,3,7.7,Good,5082
Savoy Crest Hotel Apartment - Bur Dubai,Dubai,Bur Dubai,4,8.3,Very good,1436
Savoy Central Hotel Apartments,Dubai,Bur Dubai,4,8.2,Very good,3830
"Citadines Culture Village Dubai, Waterfront Jadaf",Dubai,Bur Dubai,3,8.8,Fabulous,2144
"Ramada Hotel, Suites and Apartments by Wyndham Dubai JBR",Dubai,Jumeirah Beach Residence,4,7.9,Good,5908
"Radisson Blu Hotel, Dubai Canal View",Dubai,Business Bay,5,8.6,Fabulous,5620
Icon Delux Hotel Apartments Al Barsha - Formerly Abidos,Dubai,Al Barsha,4,7.9,Good,162
Royal Continental Hotel,Dubai,Deira,4,8.4,Very good,3845
Lotus Grand Hotel,Dubai,Deira,4,5.5,Review score,1591
Aloft Dubai Creek,Dubai,Deira,4,8.3,Very good,2600
Jood Hotel Apartments,Dubai,Deira,5,9.3,Superb,60
Hyatt Regency Creek Heights Residences,Dubai,Bur Dubai,5,8.1,Very good,7688
Class Hotel Apartments,Dubai,Barsha Heights (Tecom) ,4,8.1,Very good,1253
"Suha Creek Hotel Apartment, Waterfront Jaddaf, Dubai",Dubai,Bur Dubai,4,8.5,Very good,1485
"Courtyard by Marriott World Trade Centre, Dubai",Dubai,Dubai,4,9.1,Superb,2782
Sheraton Dubai Creek Hotel & Towers,Dubai,Deira,5,8.4,Very good,
Blue Beach Tower The Walk JBR,Dubai,Jumeirah Beach Residence,4,8.1,Very good,1420
City Stay Grand Hotel Apartments - Al Barsha,Dubai,Al Barsha,3,7.1,Good,1079
Avenue Hotel Dubai,Dubai,Deira,4,7.1,Good,584
Hyatt Place Dubai Al Rigga Residences,Dubai,Deira,4,7.8,Good,5621
The Tower Plaza Hotel Dubai,Dubai,Trade Centre,5,7.9,Good,6566
MOUNT SINA HOTEL By AURA,Dubai,Deira,1,5.8,Review score,
Ecos Dubai Hotel at Al Furjan,Dubai,Dubai,3,9.1,Superb,1727
Sky Iconic,Dubai,Bur Dubai,1,5.9,Review score,87
Four Points by Sheraton Bur Dubai,Dubai,Bur Dubai,4,8.5,Very good,1039
JA Lake View Hotel (JA The Resort),Dubai,Jebel Ali,5,8.6,Fabulous,220
Ibis World Trade Centre,Dubai,Trade Centre,3,6.9,Review score,1727
Best Western Plus Dubai Academic City,Dubai,Dubai,3,8,Very good,6455
Studio One Hotel,Dubai,Dubai,4,8.3,Very good,
AL KARNAK HOTEL - BRANCH,Dubai,Deira,1,8,Very good,26
Le Wana Hotel,Dubai,Deira,3,7.9,Good,3939
"Crowne Plaza - Dubai Jumeirah, an IHG Hotel",Dubai,Beach & Coast,5,8.2,Very good,1423
Sofitel Dubai Downtown,Dubai,Downtown Dubai,5,8.5,Very good,9573
Wyndham Dubai Deira,Dubai,Deira,4,8.2,Very good,9797
Claridge Hotel,Dubai,Deira,3,3.3,Review score,9
Al Bandar Rotana â Dubai Creek,Dubai,Deira,5,8.7,Fabulous,3495
City Avenue Al Reqqa Hotel,Dubai,Deira,3,8.1,Very good,1809
Al Manar Grand Hotel Apartment,Dubai,Bur Dubai,2,6.5,Review score,687
"Rove City Centre, Deira",Dubai,Deira,3,9.2,Superb,6010
Concorde Palace Hotel,Dubai,Bur Dubai,3,6.8,Review score,307
Riviera Hotel,Dubai,Deira,4,7.8,Good,1314
Pearl Swiss Hotel,Dubai,Deira,4,7.1,Good,2628
Welcome Hotel Apartments 1,Dubai,Bur Dubai,3,6.6,Review score,422
"voco - Bonnington Dubai, an IHG Hotel",Dubai,Jumeirah Lakes Towers,5,8.2,Very good,806
Royal Regency Suites Marina,Dubai,Dubai Marina,4,9,Superb,3321
"Crowne Plaza Dubai Deira, an IHG Hotel",Dubai,Deira,5,7.7,Good,497
Majestic City Retreat Hotel,Dubai,Bur Dubai,4,7.7,Good,2587
Golden Tulip Deira Hotel,Dubai,Deira,4,5.8,Review score,151
Hyatt Place Dubai Al Rigga,Dubai,Deira,4,8,Very good,5712
Hyatt Regency Dubai Creek Heights,Dubai,Bur Dubai,5,8.2,Very good,927
Millennium Central Downtown,Dubai,Business Bay,4,6.6,Review score,4080
SwissÃ´tel Al Ghurair Dubai,Dubai,Deira,5,8.1,Very good,8270
Flora Creek Deluxe Hotel Apartments,Dubai,Deira,4,8.3,Very good,3474
Chelsea Plaza Hotel,Dubai,Beach & Coast,3,6.9,Review score,1634
Landmark Premier Hotel,Dubai,Deira,4,6.8,Review score,2268
Icon Hotel Apartments,Dubai,Deira,2,5.7,Review score,521
Baity Hotel Apartments,Dubai,Bur Dubai,3,7.3,Good,933
Samaya Hotel Deira,Dubai,Deira,4,7.5,Good,456
Ramee Rose Hotel,Dubai,Barsha Heights (Tecom) ,4,6.2,Review score,1725
Grand Nova Hotel,Dubai,Bur Dubai,2,5.3,Review score,1182
The S Hotel Al Barsha,Dubai,Dubai,4,8.1,Very good,3325
Vida Dubai Marina & Yacht Club,Dubai,Dubai Marina,4,9.3,Superb,736
The Meydan Hotel Dubai,Dubai,Dubai,5,8.9,Fabulous,
Pullman Dubai Jumeirah Lakes Towers,Dubai,Jumeirah Lakes Towers,5,7.9,Good,1000
Avani Plus Palm View Dubai Hotel & Suites,Dubai,Dubai Media City,5,9.2,Superb,2700
Royal Prestige Hotel,Dubai,Jumeirah,2,6.6,Review score,291
Marina View Deluxe Hotel Apartment,Dubai,Dubai Marina,3,6.9,Review score,1381
"Radisson Blu Residence, Dubai Marina",Dubai,Dubai Marina,4,8,Very good,1954
Best Western Plus Pearl Creek,Dubai,Deira,4,7.6,Good,2608
Queens Hotel,Dubai,Deira,2,4.4,Review score,235
Novotel World Trade Centre Dubai,Dubai,Trade Centre,4,7.9,Good,1808
"Moon Valley Hotel Apartment - Bur Dubai, Burjuman",Dubai,Bur Dubai,2,6.1,Review score,2985
Flora Al Barsha Hotel At The Mall,Dubai,Al Barsha,4,8.3,Very good,8580
Rove City Walk,Dubai,Al Wasl,3,9,Superb,7114
Taj Jumeirah Lakes Towers,Dubai,Jumeirah Lakes Towers,5,8.7,Fabulous,4409
"InterContinental Dubai Marina, an IHG Hotel",Dubai,Dubai Marina,5,8.6,Fabulous,1845
Capitol Hotel,Dubai,Beach & Coast,4,6.7,Review score,1032
Regal Peninsula Hotel Formerly New Peninsula Hotel Ghubaiba Bus Station Bur Dubai,Dubai,Bur Dubai,2,4.9,Review score,
Rolla Suites Hotel -Former J5 Bur Dubai Hotel,Dubai,Bur Dubai,3,6.8,Review score,2190
Media One Hotel,Dubai,Dubai Media City,4,8.6,Fabulous,3265
Jumeirah Emirates Towers,Dubai,Trade Centre,5,9,Superb,3803
JW Marriott Marquis Hotel Dubai,Dubai,Business Bay,5,8.6,Fabulous,
Jumeirah Creekside Hotel,Dubai,Garhoud,5,8.7,Fabulous,3529
Five Jumeirah Village,Dubai,Dubai,5,9.1,Superb,38545
Hues Boutique Hotel,Dubai,Deira,4,7.7,Good,1903
Centro Barsha - by Rotana,Dubai,Al Barsha,3,7.9,Good,3300
The Muse,Dubai,Beach & Coast,4,8,Very good,395
J5 Hotels â Port Saeed,Dubai,Deira,3,8.6,Fabulous,4301
Panorama Hotel Deira,Dubai,Deira,2,6.4,Review score,961
Fairmont Dubai,Dubai,Trade Centre,5,8.7,Fabulous,1793
Emirates Grand Hotel,Dubai,Trade Centre,3,6.9,Review score,2114
Media Rotana Dubai,Dubai,Barsha Heights (Tecom) ,5,7.7,Good,2495
Gulf Court Hotel Business Bay,Dubai,Business Bay,4,7.9,Good,5044
Manzil Downtown by Vida,Dubai,Downtown Dubai,4,9.1,Superb,4582
NH Collection Dubai The Palm,Dubai,Palm Jumeirah,4,8.7,Fabulous,713
Regent Palace Hotel,Dubai,Bur Dubai,4,6,Review score,531
Towers Rotana - Dubai,Dubai,Trade Centre,4,8.3,Very good,
Landmark Summit Hotel,Dubai,Deira,4,6.4,Review score,2622
Sofitel Dubai The Obelisk,Dubai,Bur Dubai,5,9,Superb,2723
25hours Hotel Dubai One Central,Dubai,Trade Centre,5,8.4,Very good,3047
Grand Millennium Business Bay,Dubai,Business Bay,5,8.6,Fabulous,1797
Al Manar Hotel Apartments,Dubai,Dubai,2,6,Review score,
SUTCHI HOTEL,Dubai,Deira,1,3.4,Review score,56
Donatello Hotel,Dubai,Al Barsha,4,7.6,Good,2741
Park Hyatt Dubai,Dubai,Dubai Creek,5,9,Superb,2689
Savoy Park Hotel Apartments,Dubai,Bur Dubai,4,8.1,Very good,197
HE Hotel Apartments,Dubai,Dubai,5,7.8,Good,1996
Moscow Hotel,Dubai,Deira,4,6.8,Review score,2310
Zaineast Hotel,Dubai,Deira,1,5.4,Review score,83
"The St. Regis Dubai, The Palm",Dubai,Palm Jumeirah,5,9.2,Superb,1159
Ivory Grand Hotel Apartments,Dubai,Al Barsha,3,7.5,Good,2004
The Bristol Hotel,Dubai,Deira,4,7.3,Good,106
DAMAC Maison Cour Jardin,Dubai,Business Bay,4,8.9,Fabulous,325
Carlton Downtown Hotel,Dubai,Trade Centre,4,7.6,Good,3240
Chelsea Gardens Hotel Apartment,Dubai,Discovery Gardens,4,8.1,Very good,753
Royal Falcon Hotel,Dubai,Deira,3,5.8,Review score,
Grand Central Hotel,Dubai,Deira,4,7,Good,2791
Adagio Premium The Palm,Dubai,Palm Jumeirah,4,8.8,Fabulous,1058
Sofitel Dubai Palm Apartments,Dubai,Palm Jumeirah,5,8.5,Very good,625
Phoenicia Grand Hotel,Dubai,Deira,2,5.3,Review score,
Green House Hotel Suites & Apartment,Dubai,Bur Dubai,2,6,Review score,299
Golden Sands Hotel Apartments,Dubai,Bur Dubai,3,7.8,Good,10816
Pullman Dubai Creek City Centre,Dubai,Deira,5,8.1,Very good,
Millennium Place Dubai Marina,Dubai,Dubai Marina,4,8.5,Very good,7389
Dubai Marriott Harbour Hotel And Suites,Dubai,Dubai Marina,4,8.5,Very good,416
Florida Al Souq Hotel (Previously Known Flora Al Souq Hotel),Dubai,Deira,2,6.9,Review score,171
Abidos Hotel Apartment Dubai Land,Dubai,Dubai,3,7.8,Good,2812
Grand Millennium Dubai,Dubai,Barsha Heights (Tecom) ,5,7.8,Good,2175
Marco Polo Hotel,Dubai,Deira,4,6.3,Review score,859
Millennium Montrose Hotel Apartment,Dubai,Dubai,4,8.6,Fabulous,
Days Hotel By Wyndham Dubai Deira,Dubai,Deira,3,8.1,Very good,3968
Palazzo Versace Dubai,Dubai,Bur Dubai,5,8.7,Fabulous,3604
Montreal Barsha Hotel,Dubai,Al Barsha,4,6.3,Review score,2508
LEGOLAND Hotel Dubai,Dubai,Dubai World Central,4,8.2,Very good,6178
Rove Downtown,Dubai,Bur Dubai,3,9.2,Superb,9533
President Hotel,Dubai,Bur Dubai,2,7.7,Good,
Zagy Hotel,Dubai,Deira,1,4.7,Review score,257
SLS Dubai Hotel & Residences,Dubai,Business Bay,5,8.6,Fabulous,3452
MD Hotel By Gewan,Dubai,Al Barsha,4,7.4,Good,3273
Grand Marino Hotel,Dubai,Deira,3,7.7,Good,523
Asiana Hotel Dubai,Dubai,Deira,5,7.7,Good,1770
Cheval Maison - The Palm,Dubai,Palm Jumeirah,5,9.6,Exceptional,239
Sonder Business Bay,Dubai,Business Bay,4,8.7,Fabulous,2911
Wyndham Residences The Palm,Dubai,Palm Jumeirah,5,8.2,Very good,1059
Paramount Hotel Midtown,Dubai,Business Bay,5,8.7,Fabulous,2835
"Residence Inn by Marriott Sheikh Zayed Road, Dubai",Dubai,Trade Centre,4,8.2,Very good,2368
The Dubai EDITION,Dubai,Downtown Dubai,5,9.1,Superb,2257
Citadines Metro Central Apartments,Dubai,Barsha Heights (Tecom) ,4,8.6,Fabulous,2375
Hyde Hotel Dubai,Dubai,Business Bay,5,8.8,Fabulous,2463
Parkside Hotel Apartment,Dubai,Discovery Gardens,3,6.7,Review score,684
Millennium Al Barsha,Dubai,Al Barsha,4,8.4,Very good,5138
Palm Beach Hotel,Dubai,Bur Dubai,3,5,Review score,1443
Helnan Royal,Dubai,Deira,3,7.8,Good,
Royal Continental Suites Business Bay - Deluxe Apartments,Dubai,Business Bay,4,8.6,Fabulous,1393
Sofitel Dubai Jumeirah Beach,Dubai,Jumeirah Beach Residence,5,9.3,Superb,9206
Golden Sands Boutique Hotel-Dubai Creek,Dubai,Deira,5,9.2,Superb,5091
"voco Dubai The Palm, an IHG Hotel",Dubai,Palm Jumeirah,4,9.1,Superb,
ME Dubai by MeliÃ¡,Dubai,Business Bay,5,8.8,Fabulous,1811
Hyatt Place Dubai Jumeirah,Dubai,Beach & Coast,4,8.4,Very good,3508
Adagio Premium Dubai Al Barsha,Dubai,Al Barsha,4,7.5,Good,319
Andaz by Hyatt â Palm Jumeirah,Dubai,Palm Jumeirah,5,8.6,Fabulous,3173
Paramount Hotel Dubai,Dubai,Business Bay,5,8.4,Very good,8618
Millennium Place Barsha Heights Hotel Apartments,Dubai,Barsha Heights (Tecom) ,4,8.4,Very good,4056
Xclusive Maples Hotel Apartment,Dubai,Bur Dubai,2,6.5,Review score,253
Vista Square Hotel,Dubai,Deira,3,6.4,Review score,1024
Hyatt Place Dubai Wasl District Residences,Dubai,Deira,4,8,Very good,2921
Pullman Dubai Creek City Centre Residences,Dubai,Deira,5,8.3,Very good,920
S19 Hotel-Al Jaddaf Metro Station,Dubai,Bur Dubai,3,8.5,Very good,1304
Millennium Atria Business Bay,Dubai,Business Bay,5,8.5,Very good,5479
Ramee Royal Hotel,Dubai,Bur Dubai,4,6.4,Review score,120
The St Regis Downtown Dubai,Dubai,Business Bay,5,9,Superb,2172
Al Bandar Arjaan by Rotana â Dubai Creek,Dubai,Deira,5,8.5,Very good,737
"La Ville Hotel & Suites CITY WALK Dubai, Autograph Collection",Dubai,Al Wasl,5,8.6,Fabulous,928
Deira Suites Deluxe Hotel Suites,Dubai,Deira,4,8.1,Very good,895
Jannah Place Dubai Marina,Dubai,Dubai Marina,3,7.5,Good,635
Delmon Hotel,Dubai,Deira,3,3.8,Review score,4153
Lavender Hotel Al Nahda Dubai,Dubai,Al Qusais,4,7.5,Good,2667
Grand Heights Hotel Apartments,Dubai,Barsha Heights (Tecom) ,4,8.5,Very good,1828
MÃ¶venpick Hotel Jumeirah Beach,Dubai,Jumeirah Beach Residence,5,8.2,Very good,4224
Villa Rotana - Dubai,Dubai,Al Wasl,4,8.3,Very good,883
Grand Square Hotel,Dubai,Deira,2,6,Review score,556
Nassima Tower Hotel Apartments,Dubai,Trade Centre,3,7.8,Good,932
Royalton Hotel,Dubai,Deira,2,4.6,Review score,835
