Hotel Name,freewifi,familyrooms,nonsmokingrooms,restaurant,bar,heating,lift,Cuisine1,Cuisine2,Cuisine3
Best Western Plus Pearl Creek,Yes,Yes,Yes,Yes,No,No,Yes,International,Continental,American
Queens Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Vegan,Asian,N/A
Novotel World Trade Centre Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Vegetarian,N/A
"Moon Valley Hotel Apartment - Bur Dubai, Burjuman",Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Full English/Irish
Flora Al Barsha Hotel At The Mall,Yes,Yes,Yes,Yes,No,No,Yes,International,Full English/Irish,Continental
Rove City Walk,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegetarian,N/A
Taj Jumeirah Lakes Towers,Yes,Yes,Yes,Yes,No,No,Yes,International,Ameican,Continental
"InterContinental Dubai Marina, an IHG Hotel",Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,N/A
Capitol Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,Full English/Irish
Regal Peninsula Hotel Formerly New Peninsula Hotel Ghubaiba Bus Station Bur Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Continental
Rolla Suites Hotel -Former J5 Bur Dubai Hotel,Yes,Yes,Yes,Yes,No,No,No,Full English/Irish,Ameican,Vegan
Media One Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Continental,N/A,Continental
Jumeirah Emirates Towers,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Asian,N/A
JW Marriott Marquis Hotel Dubai,Yes,Yes,Yes,Yes,No,No,Yes,American,Full English/Irish,Full English/Irish
Jumeirah Creekside Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Continental
Five Jumeirah Village,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Vegan
Hues Boutique Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Continental
Centro Barsha - by Rotana,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegan,N/A
The Muse,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,American
J5 Hotels – Port Saeed,Yes,Yes,Yes,Yes,No,No,Yes,Local,Asian,N/A
Panorama Hotel Deira,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegetarian,N/A
Fairmont Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Full English/Irish
Emirates Grand Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Continental
Media Rotana Dubai,Yes,Yes,Yes,Yes,No,No,Yes,American,Vegetarian,N/A
Gulf Court Hotel Business Bay,Yes,Yes,Yes,Yes,No,No,Yes,International,Ameican,Continental
Manzil Downtown by Vida,Yes,Yes,Yes,Yes,No,No,Yes,Vegan,Continental,N/A
NH Collection Dubai The Palm,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,N/A,Full English/Irish
Regent Palace Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Continental
Towers Rotana - Dubai,Yes,Yes,Yes,Yes,No,No,Yes,International,Ameican,Vegan
Landmark Summit Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Continental
Sofitel Dubai The Obelisk,Yes,Yes,Yes,Yes,No,No,Yes,International,Asian,N/A
25hours Hotel Dubai One Central,No,Yes,Yes,Yes,No,No,Yes,American,Full English/Irish,Full English/Irish
Grand Millennium Business Bay,No,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Continental
Al Manar Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,N/A,Vegan
SUTCHI HOTEL,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Continental
Donatello Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Vegan,N/A
Park Hyatt Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Continental,N/A,American
Savoy Park Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,American,Asian,N/A
HE Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Vegetarian,N/A
Moscow Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Full English/Irish
Zaineast Hotel,Yes,No,Yes,Yes,No,No,Yes,Local,Full English/Irish,Continental
"The St. Regis Dubai, The Palm",Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegetarian,N/A
Ivory Grand Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Ameican,Continental
The Bristol Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,N/A
DAMAC Maison Cour Jardin,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Full English/Irish
Carlton Downtown Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Continental
Chelsea Gardens Hotel Apartment,Yes,Yes,Yes,Yes,No,No,Yes,Local,Ameican,Vegan
Royal Falcon Hotel,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,Continental
Grand Central Hotel,Yes,Yes,Yes,Yes,No,No,Yes,International,Asian,N/A
Adagio Premium The Palm,Yes,Yes,Yes,Yes,No,No,Yes,Vegan,Full English/Irish,Full English/Irish
Sofitel Dubai Palm Apartments,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Continental
Phoenicia Grand Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,Vegan
Green House Hotel Suites & Apartment,Yes,Yes,Yes,Yes,No,No,Yes,International,Continental,Continental
Golden Sands Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegan,N/A
Pullman Dubai Creek City Centre,Yes,Yes,Yes,Yes,No,No,Yes,International,Continental,American
Millennium Place Dubai Marina,Yes,Yes,Yes,Yes,No,No,Yes,American,Asian,N/A
Dubai Marriott Harbour Hotel And Suites,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Vegetarian,N/A
Florida Al Souq Hotel (Previously Known Flora Al Souq Hotel),Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Full English/Irish
Abidos Hotel Apartment Dubai Land,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,N/A,Continental
Grand Millennium Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Vegetarian,N/A
Marco Polo Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Ameican,Continental
Millennium Montrose Hotel Apartment,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,N/A
Days Hotel By Wyndham Dubai Deira,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,N/A
Palazzo Versace Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,N/A
Montreal Barsha Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Ameican,N/A
LEGOLAND Hotel Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,N/A
Rove Downtown,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Asian,Full English/Irish
President Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,N/A
Zagy Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,N/A
SLS Dubai Hotel & Residences,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,N/A
MD Hotel By Gewan,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Full English/Irish
Grand Marino Hotel,Yes,Yes,Yes,Yes,No,No,Yes,American,Vegan,Continental
Asiana Hotel Dubai,Yes,Yes,Yes,Yes,No,No,Yes,International,Continental,N/A
Cheval Maison - The Palm,Yes,Yes,Yes,Yes,No,No,Yes,Vegan,Asian,Continental
Sonder Business Bay,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Vegetarian,N/A
Wyndham Residences The Palm,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Full English/Irish
Paramount Hotel Midtown,Yes,Yes,Yes,Yes,No,No,Yes,International,Full English/Irish,Continental
"Residence Inn by Marriott Sheikh Zayed Road, Dubai",Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Vegan
The Dubai EDITION,Yes,Yes,Yes,Yes,No,No,Yes,International,Continental,Continental
Citadines Metro Central Apartments,Yes,Yes,Yes,Yes,No,No,Yes,American,Ameican,N/A
Hyde Hotel Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,N/A
Parkside Hotel Apartment,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Asian,N/A
Millennium Al Barsha,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,N/A,N/A
Palm Beach Hotel,No,Yes,Yes,Yes,No,No,Yes,Continental,N/A,Full English/Irish
Helnan Royal,No,Yes,Yes,Yes,No,No,Yes,Continental,Full English/Irish,Continental
Royal Continental Suites Business Bay - Deluxe Apartments,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,N/A
Sofitel Dubai Jumeirah Beach,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Vegan,Continental
Golden Sands Boutique Hotel-Dubai Creek,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,N/A
"voco Dubai The Palm, an IHG Hotel",Yes,Yes,Yes,Yes,No,No,Yes,American,Asian,Full English/Irish
ME Dubai by Meliá,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Vegetarian,Continental
Hyatt Place Dubai Jumeirah,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Vegan
Adagio Premium Dubai Al Barsha,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,N/A,Continental
Andaz by Hyatt – Palm Jumeirah,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Vegetarian,N/A
Paramount Hotel Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Ameican,American
Millennium Place Barsha Heights Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,N/A
Xclusive Maples Hotel Apartment,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,N/A
Vista Square Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Full English/Irish
Hyatt Place Dubai Wasl District Residences,Yes,Yes,Yes,Yes,No,No,Yes,American,Ameican,Continental
Pullman Dubai Creek City Centre Residences,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,N/A
S19 Hotel-Al Jaddaf Metro Station,Yes,Yes,Yes,Yes,No,No,Yes,American,Asian,Continental
Millennium Atria Business Bay,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,N/A
Ramee Royal Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Full English/Irish
The St Regis Downtown Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,N/A,Continental
Al Bandar Arjaan by Rotana – Dubai Creek,Yes,Yes,Yes,Yes,No,No,Yes,Continental,N/A,Vegan
"La Ville Hotel & Suites CITY WALK Dubai, Autograph Collection",Yes,Yes,Yes,Yes,No,No,Yes,Continental,Vegan,Continental
Deira Suites Deluxe Hotel Suites,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,N/A
Jannah Place Dubai Marina,Yes,Yes,Yes,Yes,No,No,Yes,Asian,N/A,Full English/Irish
Delmon Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegetarian,Continental
Lavender Hotel Al Nahda Dubai,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,Vegan
Grand Heights Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,Continental
Mövenpick Hotel Jumeirah Beach,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Vegetarian,N/A
Villa Rotana - Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Local,Ameican,American
Grand Square Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,N/A
Nassima Tower Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,N/A
Royalton Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Full English/Irish
Grand Hyatt Dubai,Yes,Yes,Yes,No,No,No,Yes,N/A,N/A,Continental
Signature Hotel Apartments and Spa,Yes,Yes,Yes,Yes,No,No,Yes,Continental,N/A,N/A
Rove Healthcare City - Bur Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Asian,Continental
"Grosvenor House, a Luxury Collection Hotel, Dubai",Yes,Yes,Yes,Yes,No,No,Yes,American,Full English/Irish,N/A
Kempinski Hotel Mall of the Emirates,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Full English/Irish
SKAF HOTEL LLC,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Continental
Address Sky View,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,Vegan
Fortune Pearl Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Vegan,Continental
Al Khoory Atrium,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,N/A
Landmark Riqqa Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Asian,Full English/Irish
Sun And Sands Downtown,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegetarian,Continental
Treppan Hotel & Suites By Fakhruddin,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Vegan
West Zone Plaza Hotel Apartment (Formerly Winchester Hotel Apts),Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,N/A,Continental
Arabian Courtyard Hotel & Spa,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Vegetarian,N/A
Millennium Place Mirdif Apartments,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Ameican,American
Al Khaleej Grand Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Continental,N/A,N/A
"Staybridge Suites Dubai Financial Centre, an IHG Hotel",Yes,Yes,Yes,Yes,No,No,Yes,American,Full English/Irish,N/A
City Stay Premium Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Full English/Irish
Fortune Park Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Ameican,Continental
Al Raya Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,N/A
Two Seasons Hotel & Apartments,No,Yes,Yes,Yes,No,No,Yes,Asian,N/A,Continental
Broadway Hotel,No,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,N/A
Vida Creek Harbour,Yes,Yes,Yes,No,No,No,Yes,N/A,N/A,Full English/Irish
Monaco Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Continental
Boulevard City Suites Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Vegan
Wave International Hotel,Yes,Yes,Yes,Yes,No,No,Yes,American,Vegan,Continental
Al Bustan Centre & Residence,Yes,Yes,Yes,Yes,No,No,Yes,International,Continental,N/A
Royal Tulip Hotel LLC,Yes,Yes,Yes,Yes,No,No,Yes,Vegan,Asian,Full English/Irish
Palace Downtown,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Vegetarian,Continental
Armani Hotel Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Vegan
Arabian Dreams Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,International,Full English/Irish,Continental
"Rose Park Hotel - Al Barsha, Opposite Metro Station",Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegetarian,N/A
West Zone Pearl Hotel Apartment,Yes,Yes,Yes,Yes,No,No,Yes,International,Ameican,American
Hyatt Place Dubai Jumeirah Residences,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,N/A
MENA ApartHotel Albarsha At The Mall,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,N/A
Fal Hotel L.L.C,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Full English/Irish
Address Grand Creek Harbour,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Ameican,Continental
Ramee Dream Hotel Downtown,Yes,Yes,Yes,Yes,No,No,Yes,Continental,N/A,N/A
BURJ NAHAR HOTEL L.L.C,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Asian,Continental
Vida Emirates Hills,Yes,Yes,Yes,Yes,No,No,Yes,American,Full English/Irish,N/A
Landmark Grand Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Full English/Irish
"Dunes Hotel Apartment Oud Metha, Bur Dubai",Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Continental
J5 RIMAL Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Vegan
Grand Mayfair Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegan,Continental
"Fortune Plaza Hotel, Dubai Airport",Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,N/A
City Stay Residences - Serviced Apartments Al Barsha,Yes,Yes,Yes,Yes,No,No,Yes,Local,Asian,Full English/Irish
Oaks Liwa Heights Hotel Suites,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegetarian,Continental
OYO 177 Al Ammari Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Vegan
Rolla Residence Hotel Apartment,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Continental
City Premiere Hotel Apartments - Dubai,Yes,Yes,Yes,Yes,No,No,Yes,American,Vegetarian,N/A
Al Jawhara Gardens Hotel,Yes,Yes,Yes,Yes,No,No,Yes,International,Ameican,American
"Staybridge Suites Dubai Internet City, an IHG Hotel",Yes,Yes,Yes,Yes,No,No,Yes,Vegan,Continental,N/A
Fortune Grand Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,N/A,N/A
Saffron Boutique Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Full English/Irish
Orchid Vue Hotel,Yes,Yes,Yes,Yes,No,No,Yes,International,Ameican,Continental
Address Montgomerie,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,N/A
Carlton Palace Hotel,Yes,Yes,Yes,Yes,No,No,Yes,International,Asian,Continental
Mount Royal Hotel,Yes,Yes,Yes,Yes,No,No,Yes,American,Full English/Irish,N/A
Pearl Marina Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Continental,Full English/Irish
Dolphin Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,N/A,Continental
Rose Plaza Hotel Al Barsha,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,Vegan
Millennium Place Mirdif,Yes,No,Yes,Yes,No,No,Yes,Continental,Vegan,Continental
Landmark Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Continental,N/A,N/A
Four Seasons Hotel Dubai International Financial Centre,Yes,Yes,Yes,Yes,No,No,Yes,American,Asian,Full English/Irish
Rose Rayhaan by Rotana - Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Vegetarian,Continental
"The George Hotel by Saffron, Dubai Creek",Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Vegan
Vida Downtown,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,Continental
Carlton Tower Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegetarian,N/A
Hyatt Centric Jumeirah Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Ameican,American
Al Jaddaf Rotana Suite Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,N/A
Somewhere Hotel Apartment,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,N/A
Stella Di Mare Dubai Marina Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Full English/Irish
Pearl Executive Hotel Apartments,No,Yes,Yes,Yes,No,No,Yes,Local,Ameican,Continental
Millennium Place Barsha Heights Hotel,No,Yes,Yes,Yes,No,No,Yes,American,Continental,N/A
Hera Serviced Apartments,Yes,Yes,Yes,No,No,No,Yes,N/A,N/A,Continental
Tulip Al Barsha Hotel Apartment,Yes,Yes,Yes,Yes,No,No,Yes,Vegan,Full English/Irish,N/A
Skylark Hotel Apartments AL Barsha,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,N/A
Address Dubai Mall,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,N/A
Tulip Hotel Apartments,Yes,Yes,Yes,Yes,No,No,Yes,International,Continental,N/A
TIME Oak Hotel & Suites,Yes,Yes,Yes,Yes,No,No,Yes,Local,Vegan,N/A
White Fort Hotel,Yes,Yes,Yes,Yes,No,No,Yes,International,Continental,Full English/Irish
Sea View Hotel Dubai,Yes,Yes,Yes,Yes,No,No,Yes,American,Asian,N/A
Al Ahrar Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Vegetarian,N/A
Address Dubai Marina,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Continental,N/A
Address Fountain Views,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,N/A,Full English/Irish
Rose Garden Hotel Apartments - Bur Dubai,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Vegetarian,Continental
Auris Boutique Hotel Apartments - AlBarsha,Yes,Yes,Yes,Yes,No,No,Yes,Continental,Ameican,N/A
Park Regis Business Bay,Yes,Yes,Yes,Yes,No,No,Yes,American,Continental,Continental
Vista City Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Asian,Full English/Irish,N/A
Address Downtown,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Full English/Irish
City Stay Prime Hotel Apartments - Al Barsha,Yes,Yes,Yes,Yes,No,No,Yes,Local,Ameican,Continental
"Master Rooms for "" Girls "" only at Dubai, Marina",Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,Vegan
Oasis Deira Hotel,Yes,Yes,Yes,Yes,No,No,Yes,Full English/Irish,Asian,Continental
DAMAC Maison Mall Street,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,N/A
DAMAC Maison Distinction,Yes,Yes,Yes,Yes,No,No,Yes,Local,Continental,N/A
Nuran Marina,Yes,Yes,Yes,Yes,No,No,Yes,Local,Full English/Irish,N/A
Lusso Hometels J One Business Bay,Yes,Yes,Yes,Yes,Yes,No,Yes,Local,Continental,N/A
Orkid Hills Hotel,Yes,Yes,Yes,Yes,Yes,No,Yes,American,Vegan,Full English/Irish
ECO HOTEL at BUKIT BINTANG,Yes,Yes,Yes,Yes,Yes,No,Yes,Local,Continental,Continental
Chambers Suites KL BY Fortune,Yes,Yes,Yes,Yes,Yes,No,Yes,American,Asian,N/A
Astar Hotel Bukit Bintang,Yes,Yes,Yes,Yes,Yes,No,Yes,International,Vegetarian,Continental
Royce Hotel @ KL Sentral,Yes,Yes,Yes,Yes,Yes,No,Yes,Vegan,Continental,N/A
Ceylonz Suites by MyKey Global,Yes,Yes,Yes,Yes,Yes,No,Yes,Full English/Irish,N/A,Full English/Irish
"Pavilion Ceylon Hill Suites, Bukit Bintang",Yes,Yes,Yes,Yes,Yes,No,Yes,Asian,Vegetarian,Continental
Sentral Serviced Suites Kuala Lumpur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Ameican,Vegan
AXON RESIDENCES AT BUKIT BINTANG KUALA LAMPUR,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,Continental
Hotel Pritty,Yes,Yes,Yes,Yes,No,Yes,Yes,International,Full English/Irish,N/A
Sentral Suites KualaLumpur,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Continental,American
Hilton Garden Inn Kuala Lumpur - South,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Ameican,N/A
2 BR suites Regalia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,N/A
The Platinum 2 Kuala Lumpur by LUMA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Asian,N/A
"The Majestic Hotel Kuala Lumpur, Autograph Collection",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Full English/Irish,N/A
The Platinum KLCC By Sky Pool,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,N/A,N/A
Ceria Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,Full English/Irish
ECO HOTEL at BB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,N/A
INNSiDE by Meliá Kuala Lumpur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegan,N/A
ORKID Hills at Pudu,Yes,Yes,Yes,No,Yes,Yes,Yes,N/A,N/A,N/A
Hilton Garden Inn Kuala Lumpur - North,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Asian,Full English/Irish
Grand Suite At Times Square KL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Vegetarian,Continental
Axon Serviced Suite KL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,N/A
The Platinum 2 Kuala Lumpur by HOLMA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Continental
Hotel MSP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,N/A
Komune Living,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Ameican,Full English/Irish
CITI HOTEL @ KL SENTRAL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,Continental
Crystal Suites at Axon Residence near Pavilion,No,Yes,Yes,Yes,Yes,Yes,Yes,International,Full English/Irish,Vegan
AC Hotel by Marriott Kuala Lumpur,No,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Continental,Continental
Days Hotel & Suites by Wyndham Fraser Business Park KL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Ameican,N/A
Ahyu Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,N/A
Capital O 90841 New One Enigma Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Asian,N/A
CORMAR SUITES STUDIO walking distance to Petronas Twin Tower (KLCC),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
Chambers Suites KL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,Full English/Irish
Ascott Star KLCC,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Full English/Irish,Continental
A&R Urban Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,Continental,N/A
OYO 161 Lodge Paradize Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Vegan,Continental
M Resort & Hotel Kuala Lumpur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,N/A
Tropicana Residence Klcc @ Roof Top Swimming Pool,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Asian,Full English/Irish
Sentral Suites KL Sentral by The Cynefin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Vegetarian,Continental
"Millerz Square Mid Valley, Old Klang Road",Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,Vegan
Luxe Suite by KLCC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Full English/Irish,Continental
"InterContinental Kuala Lumpur, an IHG Hotel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,N/A
Mercure Kuala Lumpur Shaw Parade,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Ameican,American
The Chow Kit - an Ormond Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,N/A
